single_frac,task_alpha,single_mass,multi_mass,total_mass,multicellular_pct
0.0,0.1,0,10,20,1.0
0.0,0.1152,0,10,20,1.0
0.0,0.1328,0,10,20,0.9975845410628019
0.0,0.153,0,10,20,1.0
0.0,0.1763,0,10,20,0.9868827160493826
0.0,0.2031,0,10,20,0.9967637540453075
0.0,0.234,0,10,20,1.0
0.0,0.2697,0,10,20,0.9959839357429718
0.0,0.3107,0,10,20,0.9978632478632479
0.0,0.358,0,10,20,0.9971014492753624
0.0,0.4125,0,10,20,1.0
0.0,0.4754,0,10,20,1.0
0.0,0.5477,0,10,20,1.0
0.0,0.6311,0,10,20,0.9924697797648617
0.0,0.7272,0,10,20,0.9973958333333334
0.0,0.8379,0,10,20,0.9927260250471779
0.0,0.9655,0,10,20,0.9981481481481481
0.0,1.1125,0,10,20,0.9949598691467915
0.0,1.2819,0,10,20,0.9922595897201251
0.0,1.477,0,10,20,0.9977628635346756
0.0,1.7019,0,10,20,0.9955555555555556
0.0,1.961,0,10,20,0.9927961666618653
0.0,2.2596,0,10,20,0.9980276134122287
0.0,2.6036,0,10,20,0.9981481481481481
0.0,3.0,0,10,20,0.9959839357429718
0.0417,0.1,1,9,19,0.8240890817905036
0.0417,0.1152,1,9,19,0.8193004717687468
0.0417,0.1328,1,9,19,0.8434195342228749
0.0417,0.153,1,9,19,0.8308485700890764
0.0417,0.1763,1,9,19,0.7890508651848149
0.0417,0.2031,1,9,19,0.8453572354531649
0.0417,0.234,1,9,19,0.8402312549860151
0.0417,0.2697,1,9,19,0.9085021993049026
0.0417,0.3107,1,9,19,0.84488023452918
0.0417,0.358,1,9,19,0.8289511892505478
0.0417,0.4125,1,9,19,0.824464023713313
0.0417,0.4754,1,9,19,0.8457524252490773
0.0417,0.5477,1,9,19,0.886692942942943
0.0417,0.6311,1,9,19,0.8703395905388919
0.0417,0.7272,1,9,19,0.8626785133588984
0.0417,0.8379,1,9,19,0.8550803850427365
0.0417,0.9655,1,9,19,0.8167326863405296
0.0417,1.1125,1,9,19,0.8492886628675409
0.0417,1.2819,1,9,19,0.8731404165466935
0.0417,1.477,1,9,19,0.861655598329607
0.0417,1.7019,1,9,19,0.863065001615607
0.0417,1.961,1,9,19,0.8456146321176954
0.0417,2.2596,1,9,19,0.8627458960792295
0.0417,2.6036,1,9,19,0.8778961536706666
0.0417,3.0,1,9,19,0.8407708788021987
0.0833,0.1,2,9,20,0.7055809556832555
0.0833,0.1152,2,9,20,0.8711683215776578
0.0833,0.1328,2,9,20,0.8241905153669858
0.0833,0.153,2,9,20,0.8473143158112544
0.0833,0.1763,2,9,20,0.696001941661886
0.0833,0.2031,2,9,20,0.8211708003069699
0.0833,0.234,2,9,20,0.732036563575203
0.0833,0.2697,2,9,20,0.722406752352306
0.0833,0.3107,2,9,20,0.7547642416063468
0.0833,0.358,2,9,20,0.763213662428322
0.0833,0.4125,2,9,20,0.774908624893735
0.0833,0.4754,2,9,20,0.7408669294211309
0.0833,0.5477,2,9,20,0.74158879916556
0.0833,0.6311,2,9,20,0.7425696540659579
0.0833,0.7272,2,9,20,0.747810969804895
0.0833,0.8379,2,9,20,0.7089756247980099
0.0833,0.9655,2,9,20,0.6985060158579323
0.0833,1.1125,2,9,20,0.7496837022903374
0.0833,1.2819,2,9,20,0.7545476450441949
0.0833,1.477,2,9,20,0.749741946623478
0.0833,1.7019,2,9,20,0.6979395312218545
0.0833,1.961,2,9,20,0.7014327285063949
0.0833,2.2596,2,9,20,0.766055405929131
0.0833,2.6036,2,9,20,0.7268787811989158
0.0833,3.0,2,9,20,0.6801499199741569
0.125,0.1,2,9,20,0.7117042412992568
0.125,0.1152,2,9,20,0.8535665074443952
0.125,0.1328,2,9,20,0.8484065070149976
0.125,0.153,2,9,20,0.7816882484635008
0.125,0.1763,2,9,20,0.7020853551519961
0.125,0.2031,2,9,20,0.8147087350412159
0.125,0.234,2,9,20,0.7659036967400056
0.125,0.2697,2,9,20,0.7311590638585602
0.125,0.3107,2,9,20,0.7079614980648459
0.125,0.358,2,9,20,0.7581057255558212
0.125,0.4125,2,9,20,0.772733959523924
0.125,0.4754,2,9,20,0.6899110542103567
0.125,0.5477,2,9,20,0.7139186224462777
0.125,0.6311,2,9,20,0.7415274970747793
0.125,0.7272,2,9,20,0.7446778711484594
0.125,0.8379,2,9,20,0.7464388215310724
0.125,0.9655,2,9,20,0.6805377709192925
0.125,1.1125,2,9,20,0.78375388053201
0.125,1.2819,2,9,20,0.7649442730780193
0.125,1.477,2,9,20,0.6872442562033978
0.125,1.7019,2,9,20,0.6632055358842291
0.125,1.961,2,9,20,0.7242844783394523
0.125,2.2596,2,9,20,0.7331813133947492
0.125,2.6036,2,9,20,0.7319809736283883
0.125,3.0,2,9,20,0.7187175993854055
0.1667,0.1,3,8,19,0.8159836877291071
0.1667,0.1152,3,8,19,0.7501847679671947
0.1667,0.1328,3,8,19,0.7134943999684732
0.1667,0.153,3,8,19,0.7597327764501848
0.1667,0.1763,3,8,19,0.7581699346405228
0.1667,0.2031,3,8,19,0.7070827961056586
0.1667,0.234,3,8,19,0.7501186810075205
0.1667,0.2697,3,8,19,0.7697780564828632
0.1667,0.3107,3,8,19,0.6754033486163046
0.1667,0.358,3,8,19,0.7591285123377549
