mutation_rate,task_flip_period,multicellular_pct
1e-06,5,0.03802234756945952
1e-06,6,0.03370872887222969
1e-06,7,0.038864307147244134
1e-06,8,0.03847360222008541
1e-06,10,0.04310701029158664
1e-06,13,0.05849853386831943
1e-06,15,0.056458861659607985
1e-06,19,0.06832863684075113
1e-06,23,0.08265732209196043
1e-06,28,0.08876313925473873
1e-06,34,0.09924004608265602
1e-06,41,0.10537127324344348
1e-06,49,0.15859725867936755
1e-06,60,0.0915626193149572
1e-06,73,0.11676142824352176
1e-06,88,0.12481837219948533
1e-06,107,0.12159924539333643
1e-06,130,0.13302715820961367
1e-06,158,0.06262582959329681
1e-06,191,0.05918585994469722
1e-06,232,0.06920100472906798
1e-06,281,0.06000195151130434
1e-06,340,0.07059338832637857
1e-06,412,0.051127446274473375
1e-06,499,0.049561964497911344
1.727655247148605e-06,5,0.03173329383283703
1.727655247148605e-06,6,0.030771300757922438
1.727655247148605e-06,7,0.04103221698545437
1.727655247148605e-06,8,0.03560258611524466
1.727655247148605e-06,10,0.04480327169550876
1.727655247148605e-06,13,0.06647469123561746
1.727655247148605e-06,15,0.054693947618075445
1.727655247148605e-06,19,0.06435538001352427
1.727655247148605e-06,23,0.08403528739486653
1.727655247148605e-06,28,0.0769854322513826
1.727655247148605e-06,34,0.09797705491064472
1.727655247148605e-06,41,0.12612447110890432
1.727655247148605e-06,49,0.1438738267414861
1.727655247148605e-06,60,0.1162354916221328
1.727655247148605e-06,73,0.14817392795710402
1.727655247148605e-06,88,0.09189142908882525
1.727655247148605e-06,107,0.11509845357431416
1.727655247148605e-06,130,0.12005612780207991
1.727655247148605e-06,158,0.07874934091641762
1.727655247148605e-06,191,0.09418159671408462
1.727655247148605e-06,232,0.10483538706647266
1.727655247148605e-06,281,0.07332571774032655
1.727655247148605e-06,340,0.08613857187535327
1.727655247148605e-06,412,0.06289489319389606
1.727655247148605e-06,499,0.04929920409037719
2.984792653000101e-06,5,0.03648575776677792
2.984792653000101e-06,6,0.03351123248958599
2.984792653000101e-06,7,0.035238648226570295
2.984792653000101e-06,8,0.03721349308508203
2.984792653000101e-06,10,0.04600608782048179
2.984792653000101e-06,13,0.048471079105781294
2.984792653000101e-06,15,0.058828688410680445
2.984792653000101e-06,19,0.06405390894244713
2.984792653000101e-06,23,0.08183542407420581
2.984792653000101e-06,28,0.08681171324641455
2.984792653000101e-06,34,0.12415070679434566
2.984792653000101e-06,41,0.12912590996653783
2.984792653000101e-06,49,0.14542507797707793
2.984792653000101e-06,60,0.07014174374785886
2.984792653000101e-06,73,0.12119045741193608
2.984792653000101e-06,88,0.09020169221394082
2.984792653000101e-06,107,0.11479155576016715
2.984792653000101e-06,130,0.09395158257703647
2.984792653000101e-06,158,0.06347124512476761
2.984792653000101e-06,191,0.09170857485753649
2.984792653000101e-06,232,0.07205927904807156
2.984792653000101e-06,281,0.061906425492056355
2.984792653000101e-06,340,0.09026571348797259
2.984792653000101e-06,412,0.06085421300961824
2.984792653000101e-06,499,0.0482066330850461
5.156692688606229e-06,5,0.03348644546939516
5.156692688606229e-06,6,0.033834476841455935
5.156692688606229e-06,7,0.03951603480639617
5.156692688606229e-06,8,0.03982176895617331
5.156692688606229e-06,10,0.04247678769811528
5.156692688606229e-06,13,0.0489872344502851
5.156692688606229e-06,15,0.05956419513003188
5.156692688606229e-06,19,0.08504836627613781
5.156692688606229e-06,23,0.10135797619233504
5.156692688606229e-06,28,0.10685049795232776
5.156692688606229e-06,34,0.0971968370557472
5.156692688606229e-06,41,0.08219953574886492
5.156692688606229e-06,49,0.17575978177123172
5.156692688606229e-06,60,0.1052311876426522
5.156692688606229e-06,73,0.07895903834180283
5.156692688606229e-06,88,0.14045158548503664
5.156692688606229e-06,107,0.08143675043175332
