tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale
0,100,62,38,12,3.1666666666666665,38,0,38.0,0.0,71.0,0.1335,-0.12618845500848896,0.05526315789473685,0.05526315789473685,0.0,0.17500000000000002,0.18879310344827588,0.05526315789473685,0.1814516129032258,0,700,250,100,0.005,,0.02
50,100,54,46,14,3.2857142857142856,44,2,44.0,2.0,71.0,6.384999999999999,-0.12437245429572795,-0.12228163992869875,0.052718360071301235,0.175,0.17499999999999996,0.18981481481481477,0.05803495311167943,0.18240740740740738,0,700,250,100,0.005,,0.02
100,100,54,46,14,3.2857142857142856,44,2,44.0,2.0,71.0,12.748500000000012,-0.12214051115256452,-0.11994824482448269,0.055051755175517636,0.17500000000000032,0.17500000000000038,0.1898148148148147,0.060266896254842967,0.1824074074074075,0,700,250,100,0.005,,0.02
150,81,54,27,14,1.9285714285714286,25,2,30.864197530864196,2.4691358024691357,64.19753086419753,23.80895061728398,-0.04672553348050035,-0.04246357615894067,0.1325364238410598,0.17500000000000046,0.1750000000000005,0.18981481481481471,0.13568187392690723,0.18240740740740757,0,700,250,100,0.005,,0.02
200,88,49,39,23,1.6956521739130435,27,12,30.681818181818183,13.636363636363637,61.36363636363637,26.63664772727276,-0.03810695345876591,-0.0011608623548921282,0.13901326699834177,0.1401741293532339,0.17500000000000016,0.18051786521935786,0.13937045541523163,0.17747740887399754,0,700,250,100,0.005,,0.02
250,89,49,40,24,1.6666666666666667,28,12,31.46067415730337,13.48314606741573,61.79775280898876,34.83820224719101,-0.0349148304740223,-0.004880478087649659,0.1422310756972111,0.14711155378486077,0.17499999999999963,0.18304056501267715,0.143695219123506,0.1786100495975283,0,700,250,100,0.005,,0.02
300,89,49,40,24,1.6666666666666667,28,12,31.46067415730337,13.48314606741573,61.79775280898876,43.419662921348284,-0.033378025628856195,-0.008222591362126663,0.14352159468438522,0.15174418604651188,0.17499999999999916,0.1847251585623687,0.1459883720930232,0.1793663977218794,0,700,250,100,0.005,,0.02
350,91,48,43,27,1.5925925925925926,28,15,30.76923076923077,16.483516483516482,60.43956043956044,49.30439560439552,-0.027537678815845734,-0.014601139601140178,0.144444444444444,0.15904558404558417,0.1749999999999989,0.17974410068888172,0.1495378652355394,0.17707554405138515,0,700,250,100,0.005,,0.02
400,92,49,43,27,1.5925925925925926,28,15,30.434782608695652,16.304347826086957,59.78260869565217,57.035869565217254,-0.025013632588186258,-0.015897755610973036,0.14513715710723124,0.16103491271820428,0.1749999999999987,0.17655133642950452,0.15068288580873343,0.1756965183969197,0,700,250,100,0.005,,0.02
450,96,49,47,28,1.6785714285714286,32,15,33.333333333333336,15.625,61.458333333333336,62.93229166666646,-0.031485375896812356,-0.02502025413610806,0.13756289442264974,0.1625831485587578,0.17499999999999857,0.17952906512162717,0.14554808191289698,0.17703345780970933,0,700,250,100,0.005,,0.02
500,96,49,47,28,1.6785714285714286,32,15,33.333333333333336,15.625,61.458333333333336,71.1541666666664,-0.029443279491098484,-0.020005821689953657,0.14381653359946678,0.16382235528942043,0.17499999999999835,0.185344901827553,0.15020137030902647,0.17964464980012496,0,700,250,100,0.005,,0.02
550,30,6,24,18,1.3333333333333333,12,12,40.0,40.0,40.0,42.16333333333309,0.012276723250433746,0.0003113519258762243,0.1631268436578163,0.16281549173194007,0.0,0.15069444444444446,0.1629711676948782,0.15069444444444446,0,700,250,100,0.005,,0.02
600,30,6,24,18,1.3333333333333333,12,12,40.0,40.0,40.0,50.91333333333302,0.009779444049116848,0.0025464373255502104,0.16676891615541842,0.1642224788298682,0.0,0.15571625344352644,0.16549569749264328,0.15571625344352644,0,700,250,100,0.005,,0.02
650,27,6,21,17,1.2352941176470589,9,12,33.333333333333336,44.44444444444444,33.333333333333336,55.05370370370337,0.006861312138596948,0.0012632963643377793,0.16660146061554443,0.16533816425120665,0.0,0.15901826484018303,0.16587957697877997,0.15901826484018303,0,700,250,100,0.005,,0.02
0,100,62,38,13,2.923076923076923,38,0,38.0,0.0,73.0,0.13675000000000004,-0.11657470288624783,0.06447368421052632,0.06447368421052632,0.0,0.175,0.1888888888888889,0.06447368421052632,0.18104838709677415,1,700,250,100,0.005,,0.02
50,100,50,50,18,2.7777777777777777,46,4,46.0,4.0,73.0,7.303249999999997,-0.07859803921568623,-0.07728047740835467,0.09771952259164532,0.175,0.17499999999999996,0.19130434782608685,0.10390196078431371,0.18249999999999994,1,700,250,100,0.005,,0.02
100,100,50,50,18,2.7777777777777777,46,4,46.0,4.0,73.0,14.490750000000016,-0.07805445544554442,-0.07668962548428768,0.09831037451571265,0.17500000000000032,0.17500000000000038,0.19130434782608677,0.10444554455445566,0.18250000000000008,1,700,250,100,0.005,,0.02
150,86,50,36,15,2.4,32,4,37.2093023255814,4.651162790697675,68.6046511627907,25.50029069767446,-0.011910412067696635,-0.004961713576159044,0.17003828642384142,0.17500000000000046,0.1750000000000005,0.19130434782608677,0.17058958793230355,0.1825000000000002,1,700,250,100,0.005,,0.02
200,92,54,38,16,2.375,32,6,34.78260869565217,6.521739130434782,64.1304347826087,30.04429347826091,-0.004271818296432195,0.015427290630182444,0.1672100435323385,0.15178275290215607,0.17500000000000016,0.1630919476690622,0.16477415553809913,0.16904597383453132,1,700,250,100,0.005,,0.02
250,92,54,38,16,2.375,32,6,34.78260869565217,6.521739130434782,64.1304347826087,38.81168478260867,-0.007821224847200214,0.00877142471779535,0.16517912724103556,0.1564077025232402,0.17499999999999963,0.16823078058137872,0.163794165443489,0.1716153902906892,1,700,250,100,0.005,,0.02
300,94,54,40,17,2.3529411764705883,34,6,36.170212765957444,6.382978723404255,64.8936170212766,46.57047872340418,-0.017728922835284544,-0.004581019822429838,0.15491510420857751,0.15949612403100735,0.17499999999999916,0.17166236003445387,0.15560225718194198,0.17333118001722653,1,700,250,100,0.005,,0.02
350,100,51,49,23,2.130434782608696,34,15,34.0,15.0,61.0,48.62399999999987,-0.01969700453312906,0.01762442169304851,0.1553974511327444,0.13777302943969588,0.1749999999999989,0.16373585213761657,0.15000222000221936,0.16969922453534841,1,700,250,100,0.005,,0.02
400,100,49,51,24,2.125,34,17,34.0,17.0,61.0,57.3374999999998,-0.026745749192736784,0.01705184866642101,0.1564659294030708,0.1394140807366498,0.1749999999999987,0.18062994195347246,0.1507819798475971,0.17752772904033387,1,700,250,100,0.005,,0.02
450,99,49,50,24,2.0833333333333335,33,17,33.333333333333336,17.171717171717173,60.60606060606061,66.64570707070679,-0.022749283844229445,0.018092976747615286,0.16186887488203064,0.14377589813441535,0.17499999999999857,0.18272094477143241,0.15571726278784145,0.1784665466320709,1,700,250,100,0.005,,0.02
500,102,52,50,25,2.0,34,16,33.333333333333336,15.686274509803921,59.80392156862745,72.1524509803918,-0.008169699313462425,0.010584325533907257,0.16298729086424346,0.1524029653303362,0.17499999999999835,0.15996161249426133,0.15960030669339317,0.1677700060068556,1,700,250,100,0.005,,0.02
550,31,9,22,17,1.2941176470588236,10,12,32.25806451612903,38.70967741935484,32.25806451612903,25.922580645161236,0.02400899857129528,-0.03717573322391049,0.12058452063608752,0.157760253859998,0.0,0.11685319473237978,0.14086219330367505,0.11685319473237978,1,700,250,100,0.005,,0.02
600,31,9,22,17,1.2941176470588236,10,12,32.25806451612903,38.70967741935484,32.25806451612903,34.67258064516119,0.023218836799045545,-0.024284180134141242,0.1363456965463187,0.16062987668045994,0.0,0.12637277618407744,0.14959161298312298,0.12637277618407744,1,700,250,100,0.005,,0.02
650,27,9,18,15,1.2,6,12,22.22222222222222,44.44444444444444,22.22222222222222,38.94722222222212,0.01712777640005056,-0.008741609722296872,0.15390574958563621,0.1626473593079331,0.0,0.14260571300045025,0.1597334894005008,0.14260571300045025,1,700,250,100,0.005,,0.02
0,100,55,45,15,3.0,45,0,45.0,0.0,73.0,0.14350000000000004,-0.0841414141414142,0.0972222222222222,0.0972222222222222,0.0,0.175,0.18796296296296297,0.0972222222222222,0.1813636363636364,2,700,250,100,0.005,,0.02
50,100,47,53,17,3.1176470588235294,49,4,49.0,4.0,73.0,7.929249999999996,-0.05088927983879221,-0.04698879551820728,0.1280112044817927,0.175,0.17499999999999996,0.1902173913043477,0.13155752867184606,0.18244680851063827,2,700,250,100,0.005,,0.02
100,100,47,53,17,3.1176470588235294,49,4,49.0,4.0,73.0,15.552250000000017,-0.053705915553417916,-0.05003536067892514,0.12496463932107518,0.17500000000000032,0.17500000000000035,0.19021739130434775,0.1287408929572205,0.1824468085106384,2,700,250,100,0.005,,0.02
150,91,47,44,16,2.75,40,4,43.956043956043956,4.395604395604396,70.32967032967034,25.603846153846195,-0.020600001589327815,-0.014468512386558802,0.16053148761344166,0.17500000000000046,0.17500000000000046,0.1902173913043477,0.16184680692131065,0.18244680851063846,2,700,250,100,0.005,,0.02
200,98,49,49,18,2.7222222222222223,40,9,40.816326530612244,9.183673469387756,65.3061224489796,29.55892857142861,-0.009940326198321942,0.017081668676818013,0.161125339213026,0.14404367053620798,0.17500000000000018,0.1611393034825872,0.15798788986422269,0.16792821606254463,2,700,250,100,0.005,,0.02
