cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
1,11110000,NAND,1,0,1,1,cooperator,3906.0,500,227.348,121.14,0,500,250,100,0.005,,,,0.0
2,00110000,AND,1,0,1,1,cooperator,3906.0,500,215.743,95.182,0,500,250,100,0.005,,,,0.0
3,01110000,OR,1,0,1,1,cooperator,3906.0,500,211.4,92.944,0,500,250,100,0.005,,,,0.0
4,01110000,OR,1,0,1,2,cooperator,3795.5,500,68.895,187.945,0,500,250,100,0.005,,,,0.0
5,10110000,XOR,1,0,1,2,cooperator,3795.5,500,47.013,181.643,0,500,250,100,0.005,,,,0.0
6,00110000,AND,1,0,1,2,cooperator,3795.5,500,61.619,166.722,0,500,250,100,0.005,,,,0.0
7,01110000,OR,1,0,1,3,cooperator,494.2571,500,185.513,152.868,0,500,250,100,0.005,,,,0.0
8,11100000,NAND,0,1,1,3,defector,544.2571,500,189.372,164.191,0,500,250,100,0.005,,,,0.0
9,00110000,AND,1,0,1,3,cooperator,494.2571,500,177.999,155.786,0,500,250,100,0.005,,,,0.0
10,10110000,XOR,1,0,1,3,cooperator,494.2571,500,180.527,139.053,0,500,250,100,0.005,,,,0.0
11,11110000,NAND,1,0,1,4,cooperator,2324.0,500,247.098,38.037,0,500,250,100,0.005,,,,0.0
12,01110000,OR,1,0,1,4,cooperator,2324.0,500,222.267,42.687,0,500,250,100,0.005,,,,0.0
13,00110000,AND,1,0,1,5,cooperator,1826.0,500,107.446,235.29,0,500,250,100,0.005,,,,0.0
14,10110000,XOR,1,0,1,5,cooperator,1826.0,500,96.008,249.006,0,500,250,100,0.005,,,,0.0
15,00110000,AND,1,0,1,6,cooperator,359.7929,500,167.15,74.841,0,500,250,100,0.005,,,,0.0
16,11100000,NAND,0,1,1,6,defector,409.7929,500,150.721,66.804,0,500,250,100,0.005,,,,0.0
17,10110000,XOR,1,0,1,6,cooperator,359.7929,500,162.68,70.768,0,500,250,100,0.005,,,,0.0
18,01110000,OR,1,0,1,6,cooperator,359.7929,500,161.836,56.755,0,500,250,100,0.005,,,,0.0
19,00110000,AND,1,0,1,7,cooperator,3994.5,500,119.769,124.341,0,500,250,100,0.005,,,,0.0
20,01110000,OR,1,0,1,7,cooperator,3994.5,500,119.626,115.102,0,500,250,100,0.005,,,,0.0
21,10110000,XOR,1,0,1,7,cooperator,3994.5,500,116.572,99.862,0,500,250,100,0.005,,,,0.0
26,11100000,NAND,0,1,1,9,defector,145.4732,500,60.73,13.648,0,500,250,100,0.005,,,,0.0
27,00110000,AND,1,0,1,9,cooperator,95.4732,500,56.61,28.884,0,500,250,100,0.005,,,,0.0
28,10110000,XOR,1,0,1,9,cooperator,95.4732,500,45.314,12.382,0,500,250,100,0.005,,,,0.0
29,11110000,NAND,1,0,1,10,cooperator,4092.5,500,177.154,240.707,0,500,250,100,0.005,,,,0.0
30,10110000,XOR,1,0,1,10,cooperator,4092.5,500,180.965,247.189,0,500,250,100,0.005,,,,0.0
31,01110000,OR,1,0,1,10,cooperator,4092.5,500,171.607,248.984,0,500,250,100,0.005,,,,0.0
32,00110000,AND,1,0,1,10,cooperator,4092.5,500,161.935,248.324,0,500,250,100,0.005,,,,0.0
33,10110000,XOR,1,0,1,11,cooperator,440.8357,500,81.429,129.727,0,500,250,100,0.005,,,,0.0
34,00110000,AND,1,0,1,11,cooperator,440.8357,500,77.877,146.6,0,500,250,100,0.005,,,,0.0
35,01110000,OR,1,0,1,11,cooperator,440.8357,500,74.612,135.831,0,500,250,100,0.005,,,,0.0
36,11100000,NAND,0,1,1,11,defector,490.8357,500,65.269,140.767,0,500,250,100,0.005,,,,0.0
37,10110000,XOR,1,0,1,12,cooperator,846.0,500,188.494,13.542,0,500,250,100,0.005,,,,0.0
38,00110000,AND,1,0,1,12,cooperator,846.0,500,164.245,3.088,0,500,250,100,0.005,,,,0.0
39,00101101,AND,0,1,1,-1,lone,1991.0,500,42.907,2.951,0,500,250,100,0.005,,,,0.0
41,11010101,NAND,1,0,0,-1,lone,194.0,500,3.256,180.072,0,500,250,100,0.005,,,,0.0
42,01010011,OR,1,0,0,-1,lone,1646.0,500,14.054,234.669,0,500,250,100,0.005,,,,0.0
44,11111110,NAND,1,0,1,15,cooperator,343.35,500,24.058,121.371,0,500,250,100,0.005,,,,0.0
46,10101110,XOR,0,1,1,-1,lone,480.0,500,71.176,3.23,0,500,250,100,0.005,,,,0.0
47,10101011,XOR,0,1,1,-1,lone,298.0,500,4.124,189.077,0,500,250,100,0.005,,,,0.0
50,10011011,XOR,1,0,0,-1,lone,203.0,500,3.622,28.69,0,500,250,100,0.005,,,,0.0
51,10101100,XOR,0,1,1,-1,lone,209.0,500,2.899,80.879,0,500,250,100,0.005,,,,0.0
55,10010110,XOR,1,0,0,-1,lone,592.0,500,60.591,3.981,0,500,250,100,0.005,,,,0.0
56,10011110,XOR,1,0,0,-1,lone,296.0,500,67.374,33.259,0,500,250,100,0.005,,,,0.0
59,10001000,XOR,0,0,0,-1,lone,547.0,500,106.235,61.459,0,500,250,100,0.005,,,,0.0
61,01001000,OR,0,0,0,-1,lone,1275.0,500,59.454,101.943,0,500,250,100,0.005,,,,0.0
62,00000011,AND,0,0,0,-1,lone,188.0,500,249.805,190.866,0,500,250,100,0.005,,,,0.0
63,01111010,OR,1,0,1,13,cooperator,2386.1,500,110.87,74.353,0,500,250,100,0.005,,,,0.0
64,00111011,AND,1,0,1,10,cooperator,2214.2,500,193.761,238.812,0,500,250,100,0.005,,,,0.0
67,11000011,NAND,0,0,0,-1,lone,135.0,500,81.657,232.651,0,500,250,100,0.005,,,,0.0
68,11100101,NAND,0,1,1,-1,lone,761.0,500,151.339,84.752,0,500,250,100,0.005,,,,0.0
69,00110010,AND,1,0,1,13,cooperator,2384.1,500,126.739,77.66,0,500,250,100,0.005,,,,0.0
70,10110100,XOR,1,0,1,15,cooperator,345.7,500,0.993,99.899,0,500,250,100,0.005,,,,0.0
71,11010101,NAND,1,0,0,-1,lone,1852.0,500,248.483,248.438,0,500,250,100,0.005,,,,0.0
72,11111110,NAND,1,0,1,14,cooperator,358.6,500,112.616,49.569,0,500,250,100,0.005,,,,0.0
73,00001000,AND,0,0,0,-1,lone,1907.0,500,9.445,55.666,0,500,250,100,0.005,,,,0.0
74,10000010,XOR,0,0,0,-1,lone,194.0,500,33.089,42.523,0,500,250,100,0.005,,,,0.0
76,11101110,NAND,0,1,1,-1,lone,557.0,500,88.243,0.073,0,500,250,100,0.005,,,,0.0
77,11010000,NAND,1,0,0,-1,lone,131.0,500,241.644,13.307,0,500,250,100,0.005,,,,0.0
78,01101101,OR,0,1,1,-1,lone,1103.0,500,209.902,126.258,0,500,250,100,0.005,,,,0.0
79,10001101,XOR,0,0,0,-1,lone,13.0,500,2.812,249.175,0,500,250,100,0.005,,,,0.0
80,11100010,NAND,0,1,1,-1,lone,197.0,500,28.411,128.988,0,500,250,100,0.005,,,,0.0
81,11110011,NAND,1,0,1,16,cooperator,2043.1,500,156.319,172.354,0,500,250,100,0.005,,,,0.0
82,00111100,AND,1,0,1,17,cooperator,3310.35,500,7.252,150.968,0,500,250,100,0.005,,,,0.0
83,01011001,OR,1,0,0,-1,lone,1639.0,500,0.692,208.52,0,500,250,100,0.005,,,,0.0
84,01001111,OR,0,0,0,-1,lone,1263.0,500,249.731,0.746,0,500,250,100,0.005,,,,0.0
86,11111010,NAND,1,0,1,14,cooperator,358.6,500,96.374,52.565,0,500,250,100,0.005,,,,0.0
87,00111110,AND,1,0,1,18,cooperator,1904.3,500,8.766,248.736,0,500,250,100,0.005,,,,0.0
89,00110101,AND,1,0,1,9,cooperator,92.6732,500,55.915,14.946,0,500,250,100,0.005,,,,0.0
90,10100101,XOR,0,1,1,-1,lone,1730.0,500,218.479,17.03,0,500,250,100,0.005,,,,0.0
92,01110111,OR,1,0,1,16,cooperator,2041.1,500,149.177,152.172,0,500,250,100,0.005,,,,0.0
94,01001101,OR,0,0,0,-1,lone,295.0,500,1.623,11.967,0,500,250,100,0.005,,,,0.0
95,01110010,OR,1,0,1,17,cooperator,3313.35,500,2.862,130.672,0,500,250,100,0.005,,,,0.0
96,00110100,AND,1,0,1,12,cooperator,841.7,500,170.049,3.191,0,500,250,100,0.005,,,,0.0
97,11011110,NAND,1,0,0,-1,lone,661.0,500,137.713,247.547,0,500,250,100,0.005,,,,0.0
98,11110011,NAND,1,0,1,15,cooperator,343.35,500,11.055,117.405,0,500,250,100,0.005,,,,0.0
101,11100000,NAND,0,1,1,3,defector,301.0071,450,156.267,151.189,0,500,250,100,0.005,,,,0.0
102,11100000,NAND,0,1,1,6,defector,185.2929,450,160.108,77.713,0,500,250,100,0.005,,,,0.0
105,11100000,NAND,0,1,1,9,defector,88.9732,450,35.353,15.529,0,500,250,100,0.005,,,,0.0
106,11100000,NAND,0,1,1,11,defector,247.5857,450,65.925,147.925,0,500,250,100,0.005,,,,0.0
107,00101101,AND,0,1,1,-1,lone,1592.0,400,24.922,30.415,0,500,250,100,0.005,,,,0.0
108,11010101,NAND,1,0,0,-1,lone,95.0,400,1.137,159.79,0,500,250,100,0.005,,,,0.0
109,10101110,XOR,0,1,1,-1,lone,95.0,400,52.578,1.074,0,500,250,100,0.005,,,,0.0
110,10101011,XOR,0,1,1,-1,lone,104.0,400,11.221,195.682,0,500,250,100,0.005,,,,0.0
111,10011011,XOR,1,0,0,-1,lone,95.0,400,2.13,17.508,0,500,250,100,0.005,,,,0.0
112,10101100,XOR,0,1,1,-1,lone,292.0,400,3.36,120.162,0,500,250,100,0.005,,,,0.0
115,01101101,OR,0,1,1,-1,lone,405.0,400,196.196,93.098,0,500,250,100,0.005,,,,0.0
116,11100010,NAND,0,1,1,-1,lone,95.0,400,15.103,188.498,0,500,250,100,0.005,,,,0.0
117,01001101,OR,0,0,0,-1,lone,196.0,400,23.102,2.645,0,500,250,100,0.005,,,,0.0
118,11100000,NAND,0,1,1,3,defector,151.5071,400,177.186,147.649,0,500,250,100,0.005,,,,0.0
119,11100000,NAND,0,1,1,3,defector,151.5071,400,181.117,163.652,0,500,250,100,0.005,,,,0.0
122,11100000,NAND,0,1,1,6,defector,65.7929,400,163.443,81.01,0,500,250,100,0.005,,,,0.0
123,11100000,NAND,0,1,1,6,defector,65.7929,400,154.68,52.909,0,500,250,100,0.005,,,,0.0
127,11100000,NAND,0,1,1,9,defector,59.4732,400,54.509,33.819,0,500,250,100,0.005,,,,0.0
128,11110000,NAND,1,0,1,20,cooperator,3706.0,400,214.572,188.836,0,500,250,100,0.005,,,,0.0
129,10110000,XOR,1,0,1,20,cooperator,3706.0,400,218.538,210.371,0,500,250,100,0.005,,,,0.0
130,01110000,OR,1,0,1,20,cooperator,3706.0,400,207.947,200.441,0,500,250,100,0.005,,,,0.0
131,00110000,AND,1,0,1,20,cooperator,3706.0,400,196.017,192.934,0,500,250,100,0.005,,,,0.0
132,11100000,NAND,0,1,1,11,defector,98.0857,400,73.235,125.735,0,500,250,100,0.005,,,,0.0
133,11100000,NAND,0,1,1,11,defector,98.0857,400,58.563,143.619,0,500,250,100,0.005,,,,0.0
134,10010110,XOR,1,0,0,-1,lone,290.01,399,83.84,46.653,0,500,250,100,0.005,,,,0.0
135,10011110,XOR,1,0,0,-1,lone,177.01,399,68.813,76.974,0,500,250,100,0.005,,,,0.0
136,00110000,AND,1,0,1,21,cooperator,3197.61,399,147.705,107.979,0,500,250,100,0.005,,,,0.0
137,01110000,OR,1,0,1,21,cooperator,3197.61,399,148.566,116.346,0,500,250,100,0.005,,,,0.0
138,10110000,XOR,1,0,1,21,cooperator,3197.61,399,161.9,116.613,0,500,250,100,0.005,,,,0.0
139,11111110,NAND,1,0,1,22,cooperator,978.11,399,13.586,91.829,0,500,250,100,0.005,,,,0.0
140,11110011,NAND,1,0,1,22,cooperator,978.11,399,3.981,88.37,0,500,250,100,0.005,,,,0.0
141,10110100,XOR,1,0,1,22,cooperator,978.11,399,14.247,82.524,0,500,250,100,0.005,,,,0.0
142,01001000,OR,0,0,0,-1,lone,1388.02,398,47.765,120.726,0,500,250,100,0.005,,,,0.0
143,10100101,XOR,0,1,1,-1,lone,1663.02,398,206.005,27.856,0,500,250,100,0.005,,,,0.0
144,11011110,NAND,1,0,0,-1,lone,497.02,398,151.991,249.846,0,500,250,100,0.005,,,,0.0
145,10110000,XOR,1,0,1,23,cooperator,2837.22,398,115.461,30.475,0,500,250,100,0.005,,,,0.0
146,01110000,OR,1,0,1,23,cooperator,2837.22,398,93.227,32.52,0,500,250,100,0.005,,,,0.0
147,00110100,AND,1,0,1,23,cooperator,2837.22,398,96.801,13.287,0,500,250,100,0.005,,,,0.0
148,01110011,OR,1,0,1,24,cooperator,253.22,398,152.195,185.339,0,500,250,100,0.005,,,,0.0
149,01110111,OR,1,0,1,24,cooperator,253.22,398,138.489,166.613,0,500,250,100,0.005,,,,0.0
150,11010101,NAND,1,0,0,-1,lone,1428.03,397,189.085,247.158,0,500,250,100,0.005,,,,0.0
151,10000010,XOR,0,0,0,-1,lone,92.03,397,1.537,40.298,0,500,250,100,0.005,,,,0.0
152,01001111,OR,0,0,0,-1,lone,727.03,397,193.211,32.513,0,500,250,100,0.005,,,,0.0
153,11110000,NAND,1,0,1,25,cooperator,3222.83,397,230.371,124.608,0,500,250,100,0.005,,,,0.0
154,00110000,AND,1,0,1,25,cooperator,3222.83,397,220.817,116.779,0,500,250,100,0.005,,,,0.0
155,01110000,OR,1,0,1,25,cooperator,3222.83,397,246.442,126.984,0,500,250,100,0.005,,,,0.0
156,11110000,NAND,1,0,1,26,cooperator,1021.33,397,82.638,202.996,0,500,250,100,0.005,,,,0.0
157,10110000,XOR,1,0,1,26,cooperator,1021.33,397,72.096,230.773,0,500,250,100,0.005,,,,0.0
158,00110000,AND,1,0,1,26,cooperator,1021.33,397,97.595,187.041,0,500,250,100,0.005,,,,0.0
159,00110000,AND,1,0,1,27,cooperator,409.33,397,121.319,220.734,0,500,250,100,0.005,,,,0.0
163,11100101,NAND,0,1,1,-1,lone,113.04,396,245.954,66.956,0,500,250,100,0.005,,,,0.0
164,00000011,AND,0,0,0,-1,lone,41.06,394,248.069,199.401,0,500,250,100,0.005,,,,0.0
165,01111010,OR,1,0,1,29,cooperator,2209.13,392,74.153,116.389,0,500,250,100,0.005,,,,0.0
166,00110010,AND,1,0,1,29,cooperator,2209.13,392,53.54,113.431,0,500,250,100,0.005,,,,0.0
167,00111100,AND,1,0,1,30,cooperator,2593.24,391,17.282,151.129,0,500,250,100,0.005,,,,0.0
