tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
0,100,51,49,17,2.8823529411764706,43,6,43.0,6.0,67.0,2.718,2.8462585034013603,1.4866279069767456,4.351627906976746,2.865,1.1150000000000002,1.508518518518519,4.169591836734694,1.3233333333333335,0,500,250,100,0.005,,,,0.0
50,86,29,57,18,3.1666666666666665,45,12,52.325581395348834,13.953488372093023,65.11627906976744,166.07255813953472,2.3755014649537944,2.699324618736379,4.727559912854026,2.0282352941176476,1.4320677361853837,1.9987145969498914,4.159281045751631,1.7837795807978365,0,500,250,100,0.005,,,,0.0
100,117,41,76,22,3.4545454545454546,55,21,47.00854700854701,17.94871794871795,58.97435897435897,237.9428205128203,1.9904546315787304,3.154043539287897,4.4544829625819675,1.3004394232940704,1.233295615275814,1.7787788778877898,3.58297093198926,1.5925163004105296,0,500,250,100,0.005,,,,0.0
150,151,50,101,29,3.4827586206896552,71,30,47.019867549668874,19.867549668874172,57.615894039735096,329.3479470198675,1.9921114972322977,4.30057789998614,5.100557050914757,0.7999791509286164,1.7780794701986773,1.8559716867432003,3.8231576746812506,1.8310461774489528,0,500,250,100,0.005,,,,0.0
200,181,60,121,33,3.6666666666666665,87,34,48.06629834254144,18.784530386740332,57.4585635359116,395.57552486187876,1.6163007150315754,3.990645261642463,4.541916171030413,0.5512709093879498,1.9234284215004815,1.7571707887323555,3.4205778330482333,1.804277118016658,0,500,250,100,0.005,,,,0.0
250,237,63,174,52,3.3461538461538463,130,44,54.85232067510549,18.565400843881857,62.869198312236286,452.77486286919896,1.329382213262868,4.153161215216223,4.754242597766545,0.6010813825503222,2.2137331657230654,2.444116353248366,3.704017922654398,2.37463570939153,0,500,250,100,0.005,,,,0.0
300,274,75,199,56,3.5535714285714284,142,57,51.824817518248175,20.802919708029197,59.12408759124087,528.7916358185618,0.984759395203394,3.8081632926637234,4.34788469138648,0.5397213987227567,2.273551469024951,2.271906087042105,3.2571042507742582,2.2723448555708643,0,500,250,100,0.005,,,,0.0
350,394,93,301,94,3.202127659574468,230,71,58.3756345177665,18.02030456852792,64.9746192893401,533.030503081944,0.9437957553670606,4.429378882203322,4.966244232464861,0.5368653502615394,2.7081798501737926,3.0822133164451855,3.9214405758654056,2.977644820498345,0,500,250,100,0.005,,,,0.0
400,425,113,312,96,3.25,238,74,56.0,17.41176470588235,62.8235294117647,660.2888663865549,1.2669592688849134,4.4451329282208105,4.924541097876211,0.47940816965539984,2.928274780763442,2.4910894841570177,3.8702467495161463,2.603287480631233,0,500,250,100,0.005,,,,0.0
450,664,140,524,171,3.064327485380117,421,103,63.403614457831324,15.512048192771084,68.82530120481928,564.9518255163513,1.2781350584798248,4.180550465269166,4.6253872635299516,0.4448367982607859,3.2081345185241212,2.2892071802674847,3.803637840013302,2.5255027815334774,0,500,250,100,0.005,,,,0.0
0,100,52,48,17,2.823529411764706,42,6,42.0,6.0,59.0,2.7590000000000003,2.3633012820512826,2.164285714285715,4.258452380952382,2.0941666666666667,2.048823529411765,1.418571428571429,3.987916666666667,1.6246153846153844,1,500,250,100,0.005,,,,0.0
50,79,25,54,16,3.375,44,10,55.69620253164557,12.658227848101266,62.0253164556962,175.16848101265808,1.6286964415395744,3.3056595365418837,4.612816399286982,1.307156862745098,1.8801960784313736,2.494901960784315,4.000657225853301,2.3719607843137265,1,500,250,100,0.005,,,,0.0
100,121,39,82,23,3.5652173913043477,63,19,52.06611570247934,15.702479338842975,56.19834710743802,213.47710743801625,1.8610911049166892,3.748224726055086,4.307312588401692,0.5590878623466066,1.5939603960396058,1.5753436225975552,3.438821493340148,1.577730388423459,1,500,250,100,0.005,,,,0.0
150,148,43,105,30,3.5,81,24,54.729729729729726,16.216216216216218,58.108108108108105,311.6140540540538,1.4555694116464986,3.7861058306477915,4.243723236428105,0.4576174057803135,0.9264238410596042,2.053854833359434,3.3783276179943242,1.9227582063478257,1,500,250,100,0.005,,,,0.0
200,186,53,133,38,3.5,101,32,54.30107526881721,17.204301075268816,56.45161290322581,355.72440860215073,1.0571297320754605,3.1312724740577536,3.478765738089077,0.3474932640313234,1.0558450173375564,1.7182391500942844,2.725376872150369,1.6682471400749086,1,500,250,100,0.005,,,,0.0
250,246,62,184,54,3.4074074074074074,141,43,57.31707317073171,17.479674796747968,59.34959349593496,385.3845934959355,1.1990404848872775,3.3105129383610272,3.888042072417611,0.577529134056584,2.0419185550634085,1.9042465242388653,3.1143895922571545,1.915349107369877,1,500,250,100,0.005,,,,0.0
300,281,73,208,57,3.6491228070175437,150,58,53.380782918149464,20.640569395017792,55.16014234875445,440.1969750889687,0.999476702177936,3.103249146677533,3.576223060652587,0.4729739139750541,1.9571877627002112,1.6933459097029278,2.710893971675198,1.711417269497262,1,500,250,100,0.005,,,,0.0
350,407,99,308,90,3.422222222222222,236,72,57.98525798525799,17.69041769041769,59.70515970515971,420.3396103896109,0.8686730235911253,3.3794397084321086,3.7777347145451756,0.3982950061130669,2.830976216491704,2.0648954727594133,2.987735821664943,2.1190627980738177,1,500,250,100,0.005,,,,0.0
400,465,118,347,95,3.6526315789473682,250,97,53.763440860215056,20.86021505376344,55.483870967741936,478.44464823348756,0.7215059075375814,3.267401490291877,3.552925592547318,0.2855241022554413,2.4364411360035625,1.8803529570600468,2.639559758085324,1.9180538505477427,1,500,250,100,0.005,,,,0.0
450,706,157,549,164,3.347560975609756,420,129,59.49008498583569,18.271954674220964,60.76487252124646,441.8606348644278,1.1723403049745538,3.8253979121743384,4.0776699820319715,0.2522720698576333,1.859590086446824,2.015397311108766,3.1788059917396407,2.006465686765087,1,500,250,100,0.005,,,,0.0
0,100,52,48,16,3.0,42,6,42.0,6.0,63.0,3.1520000000000006,2.621153846153846,3.552380952380953,4.95904761904762,1.406666666666667,1.609047619047619,2.0867741935483877,4.515,1.8938461538461537,2,500,250,100,0.005,,,,0.0
50,77,30,47,13,3.6153846153846154,41,6,53.246753246753244,7.792207792207792,63.63636363636363,190.70688311688298,2.2298428591294637,3.5385122748286264,5.095750836920129,1.5572385620915032,2.44343137254902,2.4035472370766495,4.644025865665411,2.4141830065359478,2,500,250,100,0.005,,,,0.0
