cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period
230230,11110000,NAND,1,0,1,58315,cooperator,86.1,500,143.759,60.788,0,500,150,100,0.005,
230231,00110000,AND,1,0,1,58315,cooperator,86.1,500,149.273,56.472,0,500,150,100,0.005,
230232,01110000,OR,1,0,1,58315,cooperator,86.1,500,113.732,27.429,0,500,150,100,0.005,
230233,11110000,NAND,1,0,1,58316,cooperator,65.8,500,61.401,0.066,0,500,150,100,0.005,
230236,10110000,XOR,1,0,1,58317,cooperator,87.5,500,148.593,125.161,0,500,150,100,0.005,
230237,11110000,NAND,1,0,1,58317,cooperator,87.5,500,65.374,149.731,0,500,150,100,0.005,
230238,10110000,XOR,1,0,1,58318,cooperator,87.5,500,55.347,149.274,0,500,150,100,0.005,
230239,00110000,AND,1,0,1,58318,cooperator,87.5,500,55.66,149.927,0,500,150,100,0.005,
230240,10110000,XOR,1,0,1,58319,cooperator,93.2375,500,36.909,81.46,0,500,150,100,0.005,
230241,01110000,OR,1,0,1,58319,cooperator,93.2375,500,50.451,99.518,0,500,150,100,0.005,
230242,00110000,AND,1,0,1,58319,cooperator,93.2375,500,42.554,83.592,0,500,150,100,0.005,
230243,11110000,NAND,1,0,1,58319,cooperator,93.2375,500,57.018,94.72,0,500,150,100,0.005,
230244,11110000,NAND,1,0,1,58320,cooperator,15.09,500,11.71,148.919,0,500,150,100,0.005,
230245,01110000,OR,1,0,1,58320,cooperator,15.09,500,0.741,141.418,0,500,150,100,0.005,
230246,00110000,AND,1,0,1,58321,cooperator,181.8625,500,43.202,138.421,0,500,150,100,0.005,
230247,10110000,XOR,1,0,1,58321,cooperator,181.8625,500,52.814,111.619,0,500,150,100,0.005,
230248,01110000,OR,1,0,1,58321,cooperator,181.8625,500,54.535,113.784,0,500,150,100,0.005,
230249,01110000,OR,1,0,1,58322,cooperator,87.5,500,15.197,1.697,0,500,150,100,0.005,
230250,10110000,XOR,1,0,1,58322,cooperator,87.5,500,0.073,9.92,0,500,150,100,0.005,
230251,00110000,AND,1,0,1,58323,cooperator,87.5,500,27.62,0.617,0,500,150,100,0.005,
230252,01110000,OR,1,0,1,58323,cooperator,87.5,500,20.233,0.537,0,500,150,100,0.005,
230253,01110000,OR,1,0,1,58324,cooperator,87.5,500,40.657,0.273,0,500,150,100,0.005,
230254,10110000,XOR,1,0,1,58324,cooperator,87.5,500,43.16,6.033,0,500,150,100,0.005,
230255,11110000,NAND,1,0,1,58324,cooperator,87.5,500,42.273,0.395,0,500,150,100,0.005,
230256,00110000,AND,1,0,1,58325,cooperator,320.525,500,121.965,14.64,0,500,150,100,0.005,
230257,10110000,XOR,1,0,1,58325,cooperator,320.525,500,95.683,13.621,0,500,150,100,0.005,
230258,00110000,AND,1,0,1,58326,cooperator,77.125,500,149.367,146.733,0,500,150,100,0.005,
230259,10110000,XOR,1,0,1,58326,cooperator,77.125,500,123.179,149.442,0,500,150,100,0.005,
230263,10110000,XOR,1,0,1,58328,cooperator,130.25,500,77.878,7.562,0,500,150,100,0.005,
230264,00110000,AND,1,0,1,58328,cooperator,130.25,500,90.45,0.655,0,500,150,100,0.005,
230265,01110000,OR,1,0,1,58329,cooperator,220.05,500,0.238,15.273,0,500,150,100,0.005,
230266,00110000,AND,1,0,1,58329,cooperator,220.05,500,0.482,83.332,0,500,150,100,0.005,
230267,10010011,XOR,1,0,1,58338,cooperator,87.5,500,127.886,38.879,0,500,150,100,0.005,
230268,10010010,XOR,1,0,1,58320,cooperator,33.65,500,7.126,149.013,0,500,150,100,0.005,
230269,11110100,NAND,1,0,1,58337,cooperator,87.5,500,52.904,149.192,0,500,150,100,0.005,
230270,10000001,XOR,0,0,0,-1,lone,100.0,500,0.958,0.895,0,500,150,100,0.005,
230271,10110001,XOR,1,0,1,58322,cooperator,87.5,500,0.55,3.679,0,500,150,100,0.005,
230272,01010001,OR,1,0,1,58340,cooperator,87.5,500,43.802,149.71,0,500,150,100,0.005,
230273,10110110,XOR,1,0,1,58333,cooperator,87.5,500,11.103,143.469,0,500,150,100,0.005,
230274,10100111,XOR,0,1,1,58339,defector,87.5,500,43.475,149.169,0,500,150,100,0.005,
230275,11110011,NAND,1,0,1,58321,cooperator,179.9375,500,52.305,135.883,0,500,150,100,0.005,
230276,00110011,AND,1,0,1,58331,cooperator,87.5,500,33.442,0.328,0,500,150,100,0.005,
230277,00000111,AND,0,0,0,-1,lone,100.0,500,0.437,18.863,0,500,150,100,0.005,
230278,11100011,NAND,0,1,1,58332,defector,87.5,500,122.362,45.834,0,500,150,100,0.005,
230279,00101111,AND,0,1,1,58334,defector,87.5,500,19.722,132.503,0,500,150,100,0.005,
230280,00110110,AND,1,0,1,58339,cooperator,87.5,500,31.776,149.34,0,500,150,100,0.005,
230281,01101010,OR,0,1,1,58322,defector,87.5,500,0.555,0.15,0,500,150,100,0.005,
230282,01110111,OR,1,0,1,58319,cooperator,87.5,500,44.888,104.877,0,500,150,100,0.005,
230283,10110101,XOR,1,0,1,58319,cooperator,88.175,500,54.494,100.858,0,500,150,100,0.005,
230284,10110000,XOR,1,0,1,58337,cooperator,87.5,500,56.846,149.623,0,500,150,100,0.005,
230285,00101111,AND,0,1,1,58334,defector,87.5,500,33.958,134.876,0,500,150,100,0.005,
230286,11100110,NAND,0,1,1,58330,defector,87.5,500,23.789,1.23,0,500,150,100,0.005,
230287,01010101,OR,1,0,1,58336,cooperator,87.5,500,26.359,0.096,0,500,150,100,0.005,
230288,10111001,XOR,1,0,1,58317,cooperator,87.5,500,115.739,127.58,0,500,150,100,0.005,
230289,01010101,OR,1,0,1,58317,cooperator,87.5,500,75.068,142.964,0,500,150,100,0.005,
230290,01100001,OR,0,1,1,58317,defector,87.5,500,149.792,120.874,0,500,150,100,0.005,
230291,00111100,AND,1,0,1,58316,cooperator,70.7,500,24.262,4.657,0,500,150,100,0.005,
