cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
1,11110000,NAND,1,0,1,1,cooperator,81.0,500,230.741,142.775,0,500,250,100,0.05,,,,
2,00110000,AND,1,0,1,1,cooperator,81.0,500,230.477,123.918,0,500,250,100,0.05,,,,
3,01110000,OR,1,0,1,1,cooperator,81.0,500,248.174,141.513,0,500,250,100,0.05,,,,
7,10110000,XOR,1,0,1,3,cooperator,77.55,500,249.244,230.443,0,500,250,100,0.05,,,,
8,11110000,NAND,1,0,1,3,cooperator,77.55,500,241.012,241.335,0,500,250,100,0.05,,,,
9,10110000,XOR,1,0,1,4,cooperator,83.475,500,234.063,249.949,0,500,250,100,0.05,,,,
11,10110000,XOR,1,0,1,5,cooperator,92.8933,500,31.441,94.617,0,500,250,100,0.05,,,,
12,01110000,OR,1,0,1,5,cooperator,92.8933,500,9.555,77.882,0,500,250,100,0.05,,,,
13,00110000,AND,1,0,1,5,cooperator,92.8933,500,18.097,72.285,0,500,250,100,0.05,,,,
14,11110000,NAND,1,0,1,5,cooperator,92.8933,500,33.242,74.881,0,500,250,100,0.05,,,,
16,01110000,OR,1,0,1,6,cooperator,83.65,500,154.332,23.777,0,500,250,100,0.05,,,,
17,00110000,AND,1,0,1,7,cooperator,130.345,500,104.211,167.782,0,500,250,100,0.05,,,,
18,11110000,NAND,1,0,1,7,cooperator,130.345,500,100.091,198.302,0,500,250,100,0.05,,,,
19,01110000,OR,1,0,1,7,cooperator,130.345,500,98.475,169.484,0,500,250,100,0.05,,,,
20,10110000,XOR,1,0,1,7,cooperator,130.345,500,91.452,150.579,0,500,250,100,0.05,,,,
22,10110000,XOR,1,0,1,8,cooperator,51.325,500,88.655,2.096,0,500,250,100,0.05,,,,
24,01110000,OR,1,0,1,9,cooperator,187.5,500,28.497,233.891,0,500,250,100,0.05,,,,
25,00110000,AND,1,0,1,9,cooperator,187.5,500,49.598,249.666,0,500,250,100,0.05,,,,
26,10110000,XOR,1,0,1,9,cooperator,187.5,500,32.926,226.765,0,500,250,100,0.05,,,,
27,11110000,NAND,1,0,1,9,cooperator,187.5,500,10.106,224.343,0,500,250,100,0.05,,,,
28,11110000,NAND,1,0,1,10,cooperator,187.5,500,85.175,36.5,0,500,250,100,0.05,,,,
29,00110000,AND,1,0,1,10,cooperator,187.5,500,72.841,43.988,0,500,250,100,0.05,,,,
30,01110000,OR,1,0,1,10,cooperator,187.5,500,105.169,55.595,0,500,250,100,0.05,,,,
31,10110000,XOR,1,0,1,10,cooperator,187.5,500,93.237,58.792,0,500,250,100,0.05,,,,
32,01110000,OR,1,0,1,11,cooperator,187.5,500,9.059,135.346,0,500,250,100,0.05,,,,
33,10110000,XOR,1,0,1,11,cooperator,187.5,500,0.739,181.211,0,500,250,100,0.05,,,,
34,11110000,NAND,1,0,1,11,cooperator,187.5,500,0.116,168.197,0,500,250,100,0.05,,,,
35,00110000,AND,1,0,1,11,cooperator,187.5,500,0.673,105.038,0,500,250,100,0.05,,,,
39,10010000,XOR,1,0,1,137,cooperator,87.5,500,1.494,0.864,0,500,250,100,0.05,,,,
40,01101101,OR,0,1,1,17,defector,87.5,500,85.395,54.517,0,500,250,100,0.05,,,,
41,01110101,OR,1,0,1,97,cooperator,87.5,500,119.498,247.656,0,500,250,100,0.05,,,,
42,10000010,XOR,0,0,0,-1,lone,100.0,500,29.777,1.76,0,500,250,100,0.05,,,,
45,01011011,OR,1,0,1,122,cooperator,75.25,500,82.198,19.211,0,500,250,100,0.05,,,,
46,00010111,AND,1,0,1,141,cooperator,40.3,500,19.891,20.343,0,500,250,100,0.05,,,,
