tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
0,100,60,40,13,3.076923076923077,40,0,40.0,0.0,68.0,0.19900000000000007,0.012083333333333418,0.2062500000000001,0.2062500000000001,0.0,0.20357142857142854,0.18593750000000003,0.2062500000000001,0.19416666666666668,0,500,250,100,0.05,,,,
50,114,49,65,21,3.0952380952380953,61,4,53.50877192982456,3.508771929824561,71.05263157894737,8.796929824561404,-0.02751869978760732,-0.0005625200900031824,0.17443747990999678,0.17499999999999996,0.22362745098039222,0.18706896551724134,0.1744720965309201,0.20199079631852743,0,500,250,100,0.05,,,,
100,131,51,80,27,2.962962962962963,73,7,55.725190839694655,5.343511450381679,71.7557251908397,16.050381679389318,0.007129307416035735,0.05268785420040786,0.20268785420040802,0.15000000000000016,0.19706506364922222,0.18666666666666662,0.19807766695787232,0.1909483595418366,0,500,250,100,0.05,,,,
150,167,53,114,37,3.081081081081081,104,10,62.275449101796404,5.9880239520958085,74.25149700598803,20.722005988023966,0.016564453780533756,0.02737512722517474,0.20237512722517495,0.1750000000000002,0.18655629139072868,0.18150210716435886,0.19997380027559822,0.18340934649506446,0,500,250,100,0.05,,,,
200,230,60,170,54,3.1481481481481484,142,28,61.73913043478261,12.173913043478262,71.73913043478261,20.92891304347827,0.02435101822493793,0.04588921416700953,0.19601359227646237,0.15012437810945284,0.17329082144331984,0.15839384160279685,0.18845536876660196,0.16410435054166403,0,500,250,100,0.05,,,,
250,297,60,237,79,3.0,203,33,68.35016835016835,11.11111111111111,75.75757575757575,24.027356902356903,0.0217982145912195,0.03391630473690885,0.19201421612167302,0.15809791138476417,0.16685628738614655,0.16467288739777747,0.18727168198473235,0.16547346739351285,0,500,250,100,0.05,,,,
300,380,54,326,111,2.936936936936937,278,46,73.15789473684211,12.105263157894736,77.89473684210526,26.433552631578948,0.018679225154075385,0.03754965506619537,0.19764938849757707,0.1600997334313817,0.1845090018275578,0.1682040583003395,0.19231826463015428,0.1736390394760789,0,500,250,100,0.05,,,,
350,465,35,430,148,2.9054054054054053,368,59,79.13978494623656,12.688172043010752,80.21505376344086,29.337096774193544,0.011495797055451118,0.02781861784191572,0.18772003289118527,0.15990141504926955,0.14713758093758067,0.17658758965025434,0.18387624260389487,0.17238044554844376,0,500,250,100,0.05,,,,
400,629,30,599,209,2.8660287081339715,514,79,81.71701112877584,12.559618441971383,82.3529411764706,30.054531001589808,0.014352212639570733,0.0316959302098474,0.19573936398309386,0.16404343377324646,0.12640111260310727,0.18497435651247685,0.19151680329746493,0.1771645906578942,0,500,250,100,0.05,,,,
450,882,29,853,288,2.9618055555555554,742,100,84.12698412698413,11.337868480725623,84.12698412698413,29.416997354497326,0.029536489453919845,0.031223484046636524,0.19866622602962228,0.16744274198298575,0.0,0.1654214843136316,0.19495797376755145,0.1654214843136316,0,500,250,100,0.05,,,,
0,100,60,40,14,2.857142857142857,40,0,40.0,0.0,74.0,0.17925000000000002,-0.03312499999999999,0.15937500000000004,0.15937500000000004,0.0,0.19852941176470587,0.1846153846153846,0.15937500000000004,0.19250000000000003,1,500,250,100,0.05,,,,
50,101,49,52,20,2.6,47,4,46.53465346534654,3.9603960396039604,73.26732673267327,9.02846534653465,-0.007696215741198387,0.013381309970796895,0.18838130997079688,0.175,0.2020878721859114,0.18636363636363626,0.18733179546328343,0.19502801120448182,1,500,250,100,0.05,,,,
100,110,50,60,24,2.5,53,6,48.18181818181818,5.454545454545454,73.63636363636364,17.022954545454557,0.004329115306797748,0.02667554607009287,0.2016755460700931,0.17500000000000024,0.20113154172560138,0.18636363636363634,0.1989627786731345,0.19463366336633675,1,500,250,100,0.05,,,,
150,129,53,76,30,2.533333333333333,67,7,51.93798449612403,5.426356589147287,74.4186046511628,22.560917312661523,0.03226414409494885,0.04147621124205056,0.2164762112420508,0.17500000000000024,0.18797099794473654,0.17100579470198682,0.21255278585428927,0.18028864175934042,1,500,250,100,0.05,,,,
