tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
0,100,51,49,17,2.8823529411764706,43,6,43.0,6.0,67.0,2.5580000000000003,2.519727891156463,1.1145348837209315,3.9795348837209317,2.865,1.1150000000000002,1.508518518518519,3.843061224489796,1.3233333333333335,0,500,250,100,0.0001,,,,
50,85,29,56,18,3.111111111111111,44,12,51.76470588235294,14.117647058823529,64.70588235294117,153.39588235294104,1.988686854051962,2.2401960784313677,4.269411764705878,2.0292156862745103,1.478413547237077,1.997625272331155,3.789369747899156,1.8006828938471942,0,500,250,100,0.0001,,,,
100,117,46,71,21,3.380952380952381,51,20,43.58974358974359,17.094017094017094,58.11965811965812,216.46735042735023,1.921049014453382,3.0504437418531714,4.4167021660149155,1.3662584241617441,1.5333954571927788,1.696739501536361,3.5574222387323324,1.6363732242789504,0,500,250,100,0.0001,,,,
150,153,49,104,30,3.466666666666667,74,30,48.36601307189542,19.607843137254903,58.8235294117647,306.57660130718943,1.8803315136814336,4.014652336075155,4.826708050105571,0.812055714030416,1.7271039475392824,1.8179763772964928,3.668635260853123,1.7883037471716896,0,500,250,100,0.0001,,,,
200,180,65,115,34,3.3823529411764706,79,36,43.888888888888886,20.0,55.0,380.8366944444447,1.5875309018130295,3.80774793561234,4.429544374847028,0.621796439234688,2.0646341313235825,1.465751118754015,3.237553716742296,1.6500228149292664,0,500,250,100,0.0001,,,,
250,228,60,168,56,3.0,128,40,56.14035087719298,17.54385964912281,64.47368421052632,438.85098684210584,1.4951984727188683,4.337774472261626,4.75484509633122,0.4170706240695938,2.362262083371899,2.164088075270252,3.7220416505546416,2.2268431778357733,0,500,250,100,0.0001,,,,
300,249,75,174,56,3.107142857142857,135,39,54.21686746987952,15.662650602409638,63.855421686746986,537.0884939759042,1.925958370746032,4.299368820448311,4.669330229677895,0.36996140922958365,2.0300854017878143,1.6619013208681077,3.705678597508446,1.7797202267624141,0,500,250,100,0.0001,,,,
350,373,87,286,101,2.8316831683168315,244,42,65.41554959785523,11.26005361930295,72.92225201072387,521.350737265416,1.36308431068827,4.363098745629604,4.675693779570711,0.312595033941107,2.9509244821220273,2.539444277312381,4.034958998743986,2.671874688055716,0,500,250,100,0.0001,,,,
400,407,111,296,103,2.8737864077669903,254,42,62.40786240786241,10.31941031941032,71.99017199017199,645.2042628992633,1.9638464874523405,4.487393590365169,4.757163187526783,0.2697695971616138,2.278133960063614,2.090756669687927,4.12043842132632,2.156591933873979,0,500,250,100,0.0001,,,,
450,675,155,520,190,2.736842105263158,469,51,69.48148148148148,7.555555555555555,77.62962962962963,570.4331481481485,1.9045223614793376,4.7275156130225975,4.957210120139698,0.22969450711710074,3.338861826262397,2.176618734538017,4.493549935016327,2.5890275735369896,0,500,250,100,0.0001,,,,
0,100,52,48,17,2.823529411764706,42,6,42.0,6.0,59.0,2.6090000000000004,2.0508012820512826,1.8071428571428583,3.901309523809525,2.0941666666666667,2.048823529411765,1.418571428571429,3.675416666666667,1.6246153846153844,1,500,250,100,0.0001,,,,
50,79,25,54,16,3.375,44,10,55.69620253164557,12.658227848101266,62.0253164556962,161.4279746835442,1.2345424836601264,2.8219251336898368,4.129081996434935,1.307156862745098,1.8801960784313736,2.494901960784315,3.606503267973853,2.3719607843137265,1,500,250,100,0.0001,,,,
100,121,39,82,23,3.5652173913043477,64,18,52.892561983471076,14.87603305785124,57.85123966942149,195.80768595041297,1.5244574415503531,3.2185506488761573,3.8086989480197975,0.5901482991436402,1.4933003300330048,1.5930813081308146,3.102187829973812,1.577730388423459,1,500,250,100,0.0001,,,,
150,147,43,104,30,3.466666666666667,82,22,55.78231292517007,14.965986394557824,59.863945578231295,298.44476190476155,1.4386276576351567,3.6813735099586484,4.1401379526280815,0.458764442669433,0.9370198675496701,2.0826076666934723,3.3613858639829823,1.9227582063478257,1,500,250,100,0.0001,,,,
200,177,53,124,36,3.4444444444444446,95,29,53.67231638418079,16.384180790960453,57.06214689265537,359.9246892655368,1.4385776555029979,3.698178766035273,4.07366554760991,0.3754867815746374,1.358954557147258,1.8226895458155215,3.208768900714565,1.7701912452115673,1,500,250,100,0.0001,,,,
250,247,66,181,53,3.4150943396226414,142,39,57.48987854251012,15.789473684210526,59.91902834008097,401.7775303643729,1.7121915862642016,4.230473567088219,4.555341405289909,0.3248678382016899,1.241637183579711,2.0006087288239844,3.643802901884161,1.9316113156199595,1,500,250,100,0.0001,,,,
300,282,80,202,58,3.4827586206896552,152,50,53.90070921985816,17.73049645390071,57.09219858156028,482.2974873353605,1.497840363856899,4.1367433951634505,4.357798058204453,0.22105466304100177,1.566602363443699,1.8701617391759884,3.3338516732630046,1.8360113094061057,1,500,250,100,0.0001,,,,
350,418,110,308,94,3.276595744680851,254,54,60.76555023923445,12.91866028708134,62.91866028708134,484.65413192071156,1.9655781783182538,4.665135111050936,4.846712844019315,0.18157773296837887,1.6622603107058151,2.098950570047348,4.028799545328567,2.0632213670103137,1,500,250,100,0.0001,,,,
400,431,130,301,96,3.1354166666666665,254,47,58.932714617169374,10.904872389791183,62.41299303944316,637.30010938018,2.117262649694701,4.65147908897344,4.852148022826922,0.20066893385348164,2.0257582557435776,2.0063333494829934,4.125837334515454,2.0085746848207533,1,500,250,100,0.0001,,,,
450,720,175,545,175,3.1142857142857143,492,53,68.33333333333333,7.361111111111111,70.55555555555556,541.7939126984134,2.3225258035151177,4.643595815506071,4.7785626686337395,0.13496685312766826,1.486491042454917,2.056580265785736,4.326983626024893,2.004457822509775,1,500,250,100,0.0001,,,,
0,100,52,48,16,3.0,42,6,42.0,6.0,63.0,3.0120000000000005,2.32948717948718,3.21904761904762,4.625714285714287,1.406666666666667,1.609047619047619,2.0867741935483877,4.223333333333334,1.8938461538461537,2,500,250,100,0.0001,,,,
50,77,30,47,13,3.6153846153846154,41,6,53.246753246753244,7.792207792207792,63.63636363636363,177.27831168831156,1.7984703101098565,3.0440120357085885,4.6012505978000915,1.5572385620915032,2.44343137254902,2.4035472370766495,4.212653316645804,2.4141830065359478,2,500,250,100,0.0001,,,,
100,115,45,70,18,3.888888888888889,58,12,50.43478260869565,10.434782608695652,61.73913043478261,227.16060869565194,2.1084193981222796,3.8723513341264533,4.691639394234985,0.8192880601085321,2.0555064737242965,1.8640903465346546,4.027807736956165,1.9193883388338848,2,500,250,100,0.0001,,,,
150,145,50,95,24,3.9583333333333335,76,19,52.41379310344828,13.10344827586207,61.37931034482759,335.04668965517226,1.581641704490219,4.36901424169811,4.731018745420785,0.3620045037226745,2.239304714244334,2.288317522820835,3.857215897081164,2.275574192590945,2,500,250,100,0.0001,,,,
200,185,67,118,31,3.806451612903226,99,19,53.513513513513516,10.27027027027027,63.24324324324324,387.0223783783786,1.659556535425099,4.003022575989709,4.264017353541888,0.26099477755217926,1.802393418662656,2.017768223375469,3.6194628709672747,1.9599063355421757,2,500,250,100,0.0001,,,,
250,241,80,161,46,3.5,141,20,58.50622406639004,8.298755186721992,66.80497925311204,457.3220954356852,2.5898211640837827,4.685501089678553,5.000758242286585,0.31525715260803183,1.740594258726686,1.858318251621788,4.418708417481795,1.8288872533980125,2,500,250,100,0.0001,,,,
300,278,107,171,49,3.489795918367347,151,20,54.31654676258993,7.194244604316546,64.74820143884892,541.8385071942455,2.771143628924058,4.507137958273985,4.772024688653425,0.2648867303794405,1.2530796167375997,1.5557672589413818,4.244874050258807,1.473730421334749,2,500,250,100,0.0001,,,,
350,430,139,291,86,3.383720930232558,269,22,62.55813953488372,5.116279069767442,70.69767441860465,523.1512209302332,3.1709486707650814,5.004106448925323,5.2074311219225615,0.20332467299723883,1.5288502938594961,1.7016845394890416,4.829113795886971,1.6581651251218896,2,500,250,100,0.0001,,,,
400,467,172,295,88,3.352272727272727,274,21,58.67237687366167,4.496788008565311,68.73661670235546,651.0215524625276,3.330405840121667,4.916285075642027,5.095377889468006,0.17909281382597883,1.2165160048000059,1.4896288999067702,4.745405053574845,1.4149992134531775,2,500,250,100,0.0001,,,,
450,785,252,533,165,3.2303030303030305,515,18,65.60509554140127,2.2929936305732483,74.01273885350318,553.0313439490451,3.154024874039755,4.857251366685103,5.035583233586139,0.17833186690103497,1.4926456348778347,1.797319012667351,4.871548478238424,1.7175236041986686,2,500,250,100,0.0001,,,,
0,100,54,46,15,3.066666666666667,40,6,40.0,6.0,67.0,2.543,2.369645732689213,1.2450000000000006,3.9850000000000008,2.74,1.3974074074074079,1.508518518518519,3.8226086956521756,1.4529629629629626,0,500,250,100,0.0003,,,,
50,89,29,60,15,4.0,48,12,53.93258426966292,13.48314606741573,66.29213483146067,143.53269662921343,1.6464453137576847,1.494709967320257,3.7494508636788013,2.2547408963585442,1.522976827094474,1.9758387799564272,3.4505088702147506,1.804063556457066,0,500,250,100,0.0003,,,,
