cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
1,11110000,NAND,1,0,1,1,cooperator,313.8,500,172.76,119.53,0,500,250,100,0.005,,0.2,,0.1
2,00110000,AND,1,0,1,1,cooperator,313.8,500,172.692,105.278,0,500,250,100,0.005,,0.2,,0.1
3,01110000,OR,1,0,1,1,cooperator,313.8,500,192.176,114.494,0,500,250,100,0.005,,0.2,,0.1
4,01110000,OR,1,0,1,2,cooperator,356.0667,500,80.821,154.234,0,500,250,100,0.005,,0.2,,0.1
5,10110000,XOR,1,0,1,2,cooperator,356.0667,500,76.735,161.992,0,500,250,100,0.005,,0.2,,0.1
6,00110000,AND,1,0,1,2,cooperator,356.0667,500,89.059,142.011,0,500,250,100,0.005,,0.2,,0.1
11,11110000,NAND,1,0,1,4,cooperator,103.9,500,206.551,43.212,0,500,250,100,0.005,,0.2,,0.1
12,01110000,OR,1,0,1,4,cooperator,103.9,500,183.536,47.57,0,500,250,100,0.005,,0.2,,0.1
13,00110000,AND,1,0,1,5,cooperator,35.0,500,155.532,165.761,0,500,250,100,0.005,,0.2,,0.1
14,10110000,XOR,1,0,1,5,cooperator,35.0,500,141.965,179.469,0,500,250,100,0.005,,0.2,,0.1
19,00110000,AND,1,0,1,7,cooperator,228.2,500,158.881,130.498,0,500,250,100,0.005,,0.2,,0.1
20,01110000,OR,1,0,1,7,cooperator,228.2,500,174.595,144.395,0,500,250,100,0.005,,0.2,,0.1
21,10110000,XOR,1,0,1,7,cooperator,228.2,500,167.692,140.744,0,500,250,100,0.005,,0.2,,0.1
29,11110000,NAND,1,0,1,10,cooperator,520.0,500,151.469,236.08,0,500,250,100,0.005,,0.2,,0.1
30,10110000,XOR,1,0,1,10,cooperator,520.0,500,140.853,229.081,0,500,250,100,0.005,,0.2,,0.1
31,01110000,OR,1,0,1,10,cooperator,520.0,500,136.094,222.034,0,500,250,100,0.005,,0.2,,0.1
32,00110000,AND,1,0,1,10,cooperator,520.0,500,155.494,207.616,0,500,250,100,0.005,,0.2,,0.1
37,10110000,XOR,1,0,1,12,cooperator,123.7,500,156.687,47.208,0,500,250,100,0.005,,0.2,,0.1
38,00110000,AND,1,0,1,12,cooperator,123.7,500,134.096,42.717,0,500,250,100,0.005,,0.2,,0.1
39,00101101,AND,0,1,1,-1,lone,791.0,500,12.621,65.996,0,500,250,100,0.005,,0.2,,0.1
41,11010101,NAND,1,0,0,-1,lone,994.0,500,1.171,126.362,0,500,250,100,0.005,,0.2,,0.1
42,01010011,OR,1,0,0,-1,lone,438.0,500,15.788,226.841,0,500,250,100,0.005,,0.2,,0.1
46,10101110,XOR,0,1,1,-1,lone,690.0,500,100.899,1.854,0,500,250,100,0.005,,0.2,,0.1
47,10101011,XOR,0,1,1,-1,lone,456.0,500,1.775,198.151,0,500,250,100,0.005,,0.2,,0.1
50,10011011,XOR,1,0,0,-1,lone,405.0,500,23.088,60.738,0,500,250,100,0.005,,0.2,,0.1
51,10101100,XOR,0,1,1,-1,lone,566.0,500,0.379,82.289,0,500,250,100,0.005,,0.2,,0.1
53,00100100,AND,0,1,1,-1,lone,2477.0,500,48.893,239.306,0,500,250,100,0.005,,0.2,,0.1
55,10010110,XOR,1,0,0,-1,lone,792.0,500,122.708,27.396,0,500,250,100,0.005,,0.2,,0.1
