tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
0,100,51,49,17,2.8823529411764706,43,6,43.0,6.0,67.0,1.031,-0.5965986394557823,0.7920542635658916,0.8237209302325582,0.03166666666666667,1.1150000000000002,1.508518518518519,0.7267346938775512,1.3233333333333335,0,500,250,100,0.005,,0.2,,0.1
50,61,29,32,14,2.2857142857142856,28,4,45.90163934426229,6.557377049180328,65.57377049180327,54.49491803278688,-1.2403291920216368,0.5415266106442574,0.5462324929971987,0.004705882352941173,1.3658169934640527,1.968085351787774,0.47854166666666653,1.7188708586883032,0,500,250,100,0.005,,0.2,,0.1
100,81,45,36,15,2.4,36,0,44.44444444444444,0.0,64.19753086419753,78.24950617283956,-0.7711012101210125,0.5669911991199122,0.5669911991199122,0.0,1.1626608910891094,1.4348822123591678,0.5669911991199122,1.3380924092409248,0,500,250,100,0.005,,0.2,,0.1
150,100,48,52,22,2.3636363636363638,52,0,52.0,0.0,68.0,125.16290000000014,-1.3126427137334824,0.6323793613217068,0.6323793613217068,0.0,1.5897516556291404,2.1226572847682137,0.6323793613217068,1.9450220750551892,0,500,250,100,0.005,,0.2,,0.1
200,120,63,57,24,2.375,57,0,47.5,0.0,64.16666666666667,155.8735833333335,-0.9413860854816494,0.6192648950118607,0.6192648950118607,0.0,1.2580663442895286,1.7013880205883856,0.6192648950118607,1.56065098049351,0,500,250,100,0.005,,0.2,,0.1
250,163,71,92,38,2.4210526315789473,92,0,56.441717791411044,0.0,70.5521472392638,175.51386503067505,-1.7312576059086984,0.6287631355955978,0.6287631355955978,0.0,1.7800367918544844,2.637929717378164,0.6287631355955978,2.360020741504296,0,500,250,100,0.005,,0.2,,0.1
300,178,85,93,38,2.4473684210526314,93,0,52.247191011235955,0.0,67.41573033707866,218.1266853932587,-1.4221047413311392,0.6125147045331167,0.6125147045331167,0.0,1.4667200386587846,2.2989864112874923,0.6125147045331167,2.034619445864256,0,500,250,100,0.005,,0.2,,0.1
350,274,114,160,64,2.5,160,0,58.394160583941606,0.0,71.89781021897811,209.57700729927035,-2.0962191138998096,0.6490729952348744,0.6490729952348744,0.0,1.9618531525835088,3.1217497895553783,0.6490729952348744,2.745292109134684,0,500,250,100,0.005,,0.2,,0.1
400,291,131,160,64,2.5,160,0,54.982817869415804,0.0,69.7594501718213,262.0006529209626,-1.911095634737607,0.6285054557889257,0.6285054557889257,0.0,1.8735592962011856,2.8650533309355097,0.6285054557889257,2.5396010905265327,0,500,250,100,0.005,,0.2,,0.1
450,463,180,283,114,2.482456140350877,283,0,61.1231101511879,0.0,71.2742980561555,211.05308855291608,-1.6624584131723792,0.6117938792295361,0.6117938792295361,0.0,1.5718266208294316,2.5224779056643714,0.6117938792295361,2.2742522924019153,0,500,250,100,0.005,,0.2,,0.1
0,100,52,48,17,2.823529411764706,42,6,42.0,6.0,59.0,1.182,-0.9221153846153843,0.8142857142857143,0.8042857142857143,-0.01,2.048823529411765,1.418571428571429,0.7025,1.6246153846153844,1,500,250,100,0.005,,0.2,,0.1
50,56,24,32,11,2.909090909090909,32,0,57.142857142857146,0.0,62.5,66.71857142857144,-1.6120506535947727,0.6173284313725487,0.6173284313725487,0.0,2.094575163398694,2.2486367880485534,0.6173284313725487,2.2293790849673214,1,500,250,100,0.005,,0.2,,0.1
100,77,34,43,14,3.0714285714285716,42,1,54.54545454545455,1.2987012987012987,61.03896103896104,91.35012987012993,-1.3997577575815046,0.45772748703441796,0.44772748703441795,-0.01,1.5226930693069316,1.89100375554797,0.43708266175454774,1.8368404193360524,1,500,250,100,0.005,,0.2,,0.1
