cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
39,00101101,AND,0,1,1,-1,lone,791.0,500,1.865,49.427,0,500,250,100,0.005,,0.01,,
41,11010101,NAND,1,0,0,-1,lone,990.0,500,2.928,119.668,0,500,250,100,0.005,,0.01,,
42,01010011,OR,1,0,0,-1,lone,977.0,500,22.274,199.082,0,500,250,100,0.005,,0.01,,
46,10101110,XOR,0,1,1,-1,lone,895.0,500,109.056,25.342,0,500,250,100,0.005,,0.01,,
47,10101011,XOR,0,1,1,-1,lone,349.0,500,19.542,227.904,0,500,250,100,0.005,,0.01,,
50,10011011,XOR,1,0,0,-1,lone,203.0,500,72.169,58.409,0,500,250,100,0.005,,0.01,,
51,10101100,XOR,0,1,1,-1,lone,259.0,500,2.479,95.182,0,500,250,100,0.005,,0.01,,
55,10010110,XOR,1,0,0,-1,lone,895.0,500,176.414,88.261,0,500,250,100,0.005,,0.01,,
56,10011110,XOR,1,0,0,-1,lone,668.0,500,109.266,90.983,0,500,250,100,0.005,,0.01,,
61,01001000,OR,0,0,0,-1,lone,311.0,500,229.728,112.139,0,500,250,100,0.005,,0.01,,
62,00000011,AND,0,0,0,-1,lone,1002.0,500,248.582,208.614,0,500,250,100,0.005,,0.01,,
67,11000011,NAND,0,0,0,-1,lone,51.0,500,52.699,229.207,0,500,250,100,0.005,,0.01,,
68,11100101,NAND,0,1,1,-1,lone,425.0,500,226.348,92.659,0,500,250,100,0.005,,0.01,,
71,11010101,NAND,1,0,0,-1,lone,1024.0,500,249.369,249.244,0,500,250,100,0.005,,0.01,,
74,10000010,XOR,0,0,0,-1,lone,365.0,500,92.373,70.454,0,500,250,100,0.005,,0.01,,
76,11101110,NAND,0,1,1,-1,lone,1164.0,500,182.017,108.926,0,500,250,100,0.005,,0.01,,
77,11010000,NAND,1,0,0,-1,lone,130.0,500,247.912,80.526,0,500,250,100,0.005,,0.01,,
78,01101101,OR,0,1,1,-1,lone,67.0,500,248.43,105.98,0,500,250,100,0.005,,0.01,,
79,10001101,XOR,0,0,0,-1,lone,13.0,500,43.161,249.208,0,500,250,100,0.005,,0.01,,
80,11100010,NAND,0,1,1,-1,lone,1040.0,500,122.606,149.251,0,500,250,100,0.005,,0.01,,
83,01011001,OR,1,0,0,-1,lone,341.0,500,155.379,224.98,0,500,250,100,0.005,,0.01,,
84,01001111,OR,0,0,0,-1,lone,2665.0,500,248.187,0.661,0,500,250,100,0.005,,0.01,,
90,10100101,XOR,0,1,1,-1,lone,895.0,500,123.118,0.459,0,500,250,100,0.005,,0.01,,
93,00011010,AND,1,0,0,-1,lone,1340.0,500,0.477,193.022,0,500,250,100,0.005,,0.01,,
94,01001101,OR,0,0,0,-1,lone,1495.0,500,0.207,2.174,0,500,250,100,0.005,,0.01,,
97,11011110,NAND,1,0,0,-1,lone,1552.0,500,198.347,209.791,0,500,250,100,0.005,,0.01,,
101,11010101,NAND,1,0,0,-1,lone,895.0,400,63.673,119.023,0,500,250,100,0.005,,0.01,,
102,01010011,OR,1,0,0,-1,lone,1501.0,400,69.875,211.943,0,500,250,100,0.005,,0.01,,
103,10101110,XOR,0,1,1,-1,lone,596.0,400,179.999,62.162,0,500,250,100,0.005,,0.01,,
104,10101011,XOR,0,1,1,-1,lone,194.0,400,3.478,168.506,0,500,250,100,0.005,,0.01,,
105,10011011,XOR,1,0,0,-1,lone,95.0,400,71.506,80.238,0,500,250,100,0.005,,0.01,,
106,10010110,XOR,1,0,0,-1,lone,308.0,400,215.8,45.166,0,500,250,100,0.005,,0.01,,
107,10011110,XOR,1,0,0,-1,lone,349.0,400,138.807,63.433,0,500,250,100,0.005,,0.01,,
108,11000011,NAND,0,0,0,-1,lone,679.0,400,87.649,248.967,0,500,250,100,0.005,,0.01,,
111,10101100,XOR,0,1,1,-1,lone,192.01,399,1.825,143.577,0,500,250,100,0.005,,0.01,,
112,01001000,OR,0,0,0,-1,lone,893.01,399,165.179,122.345,0,500,250,100,0.005,,0.01,,
113,11010101,NAND,1,0,0,-1,lone,1401.01,399,177.045,246.786,0,500,250,100,0.005,,0.01,,
114,10000010,XOR,0,0,0,-1,lone,587.01,399,130.446,43.734,0,500,250,100,0.005,,0.01,,
115,01011001,OR,1,0,0,-1,lone,893.01,399,115.174,191.9,0,500,250,100,0.005,,0.01,,
116,01001111,OR,0,0,0,-1,lone,1806.01,399,188.59,0.329,0,500,250,100,0.005,,0.01,,
117,11011110,NAND,1,0,0,-1,lone,746.01,399,232.737,197.819,0,500,250,100,0.005,,0.01,,
118,01001101,OR,0,0,0,-1,lone,1394.02,398,55.848,0.118,0,500,250,100,0.005,,0.01,,
119,00101101,AND,0,1,1,-1,lone,380.03,397,2.245,24.603,0,500,250,100,0.005,,0.01,,
121,11100010,NAND,0,1,1,-1,lone,881.04,396,134.02,128.16,0,500,250,100,0.005,,0.01,,
