tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
0,100,51,49,17,2.8823529411764706,43,6,43.0,6.0,67.0,0.8008999999999997,-1.0661904761904761,0.3044186046511628,0.2944186046511628,-0.01,1.1150000000000002,1.508518518518519,0.25714285714285723,1.3233333333333335,0,500,250,100,0.005,,0.01,,
50,28,28,0,0,0.0,0,0,0.0,0.0,42.857142857142854,93.81142857142859,-1.8394397759103644,0.0,0.0,0.0,1.6975163398692814,1.9458823529411766,0.0,1.8394397759103644,0,500,250,100,0.005,,0.01,,
100,44,44,0,0,0.0,0,0,0.0,0.0,43.18181818181818,118.30977272727283,-1.5066674167416751,0.0,0.0,0.0,1.6189890568004177,1.4213029702970306,0.0,1.5066674167416751,0,500,250,100,0.005,,0.01,,
150,48,47,1,1,1.0,1,0,2.0833333333333335,0.0,41.666666666666664,216.68552083333353,-1.718399445963895,0.5056622516556281,0.5056622516556281,0.0,2.4847971213581306,2.0471340886540386,0.5056622516556281,2.224061697619523,0,500,250,100,0.005,,0.01,,
200,60,59,1,1,1.0,1,0,1.6666666666666667,0.0,40.0,258.1209166666671,-1.7636588744417394,0.2306218905472632,0.2306218905472632,0.0,2.672594881811351,1.5609134125747246,0.2306218905472632,1.9942807649890026,0,500,250,100,0.005,,0.01,,
250,63,62,1,1,1.0,1,0,1.5873015873015872,0.0,44.44444444444444,329.78928571428634,-2.25483068249969,0.06515936254980013,0.06515936254980013,0.0,2.2464875669517808,2.376691956724865,0.06515936254980013,2.31999004504949,0,500,250,100,0.005,,0.01,,
300,70,70,0,0,0.0,0,0,0.0,0.0,42.857142857142854,373.2888571428581,-2.0525047507446876,0.0,0.0,0.0,2.1140067822121855,2.0063782271440638,0.0,2.0525047507446876,0,500,250,100,0.005,,0.01,,
350,93,93,0,0,0.0,0,0,0.0,0.0,41.935483870967744,384.06688172043107,-2.3695734810500397,0.0,0.0,0.0,2.0496244584548977,2.6006477751465304,0.0,2.3695734810500397,0,500,250,100,0.005,,0.01,,
400,111,111,0,0,0.0,0,0,0.0,0.0,46.846846846846844,409.0937837837847,-2.1872929256962412,0.0,0.0,0.0,1.9352596319222537,2.4094239642767046,0.0,2.1872929256962412,0,500,250,100,0.005,,0.01,,
450,153,153,0,0,0.0,0,0,0.0,0.0,43.13725490196079,397.2988888888898,-2.3254690687400914,0.0,0.0,0.0,2.0994015328404783,2.496968578732903,0.0,2.3254690687400914,0,500,250,100,0.005,,0.01,,
0,100,52,48,17,2.823529411764706,42,6,42.0,6.0,59.0,0.9330999999999999,-1.440657051282051,0.22166666666666668,0.21166666666666667,-0.01,2.048823529411765,1.418571428571429,0.18395833333333336,1.6246153846153844,1,500,250,100,0.005,,0.01,,
50,27,24,3,3,1.0,3,0,11.11111111111111,0.0,25.925925925925927,103.1395679012346,-2.657429193899783,-0.33981481481481496,-0.33981481481481496,0.0,2.1566666666666676,2.349803921568628,-0.33981481481481496,2.317614379084968,1,500,250,100,0.005,,0.01,,
100,38,38,0,0,0.0,0,0,0.0,0.0,13.157894736842104,134.018157894737,-1.5335304846274116,0.0,0.0,0.0,1.6593069306930723,1.5144734473447359,0.0,1.5335304846274116,1,500,250,100,0.005,,0.01,,
150,43,43,0,0,0.0,0,0,0.0,0.0,11.627906976744185,220.19767441860492,-2.1874744117229854,0.0,0.0,0.0,1.676092715231792,2.2547614770507742,0.0,2.1874744117229854,1,500,250,100,0.005,,0.01,,
200,57,57,0,0,0.0,0,0,0.0,0.0,12.280701754385966,239.06912280701795,-1.7880438425003873,0.0,0.0,0.0,1.4548258706467687,1.8346943585598938,0.0,1.7880438425003873,1,500,250,100,0.005,,0.01,,
250,71,70,1,1,1.0,1,0,1.408450704225352,0.0,9.859154929577464,275.30000000000047,1.0508513539707642,2.9988844621513957,2.9988844621513957,0.0,1.62081009296149,1.9787102658574258,2.9988844621513957,1.9480331081806315,1,500,250,100,0.005,,0.01,,
300,90,89,1,1,1.0,1,0,1.1111111111111112,0.0,11.11111111111111,283.2305555555561,0.8078569964691946,2.4027242524916903,2.4027242524916903,0.0,1.2525412645678446,1.6333789300611437,2.4027242524916903,1.5948672560224957,1,500,250,100,0.005,,0.01,,
350,125,124,1,1,1.0,1,0,0.8,0.0,10.4,295.27096000000057,-0.05325494346417137,1.9764102564102484,1.9764102564102484,0.0,1.7549543201138968,2.0590985084201896,1.9764102564102484,2.0296651998744197,1,500,250,100,0.005,,0.01,,
400,141,140,1,1,1.0,1,0,0.7092198581560284,0.0,9.929078014184396,345.77524822695113,-0.22715278146791662,1.656359102244378,1.656359102244378,0.0,1.5766770895799942,1.9149201697258367,1.656359102244378,1.8835118837122946,1,500,250,100,0.005,,0.01,,
450,205,204,1,1,1.0,1,0,0.4878048780487805,0.0,8.78048780487805,345.95121951219585,-0.9336385411270156,1.4062084257206087,1.4062084257206087,0.0,1.4387600709378052,2.4217639573848806,1.4062084257206087,2.3398469668476243,1,500,250,100,0.005,,0.01,,
0,100,52,48,16,3.0,42,6,42.0,6.0,63.0,1.1430999999999998,-1.564054487179487,0.38833333333333336,0.37833333333333335,-0.01,1.609047619047619,2.0867741935483877,0.3297916666666667,1.8938461538461537,2,500,250,100,0.005,,0.01,,
50,33,33,0,0,0.0,0,0,0.0,0.0,27.272727272727273,136.64151515151516,-2.679245395127748,0.0,0.0,0.0,3.0139651416122013,2.553725490196079,0.0,2.679245395127748,2,500,250,100,0.005,,0.01,,
100,51,51,0,0,0.0,0,0,0.0,0.0,29.41176470588235,169.5992156862747,-2.278889536012427,0.0,0.0,0.0,2.3306138613861416,2.257337733773379,0.0,2.278889536012427,2,500,250,100,0.005,,0.01,,
150,60,59,1,1,1.0,1,0,1.6666666666666667,0.0,28.333333333333332,263.9225000000004,-0.6221118520368047,1.8778145695364292,1.8778145695364292,0.0,2.516990894039738,2.4935768504229063,1.8778145695364292,2.499926421573234,2,500,250,100,0.005,,0.01,,
200,67,66,1,1,1.0,1,0,1.492537313432836,0.0,28.35820895522388,341.250597014926,-0.9348179853546592,1.2710945273631917,1.2710945273631917,0.0,2.1647675702521387,2.221341866142492,1.2710945273631917,2.205912512717851,2,500,250,100,0.005,,0.01,,
250,86,85,1,1,1.0,1,0,1.1627906976744187,0.0,29.069767441860463,341.7082558139542,-1.309762821169314,0.9959760956175332,0.9959760956175332,0.0,2.6063569799361974,2.1874629575149718,0.9959760956175332,2.305738916786847,2,500,250,100,0.005,,0.01,,
300,90,89,1,1,1.0,1,0,1.1111111111111112,0.0,27.77777777777778,398.07644444444537,-1.2389662671451331,0.8122591362126251,0.8122591362126251,0.0,2.557777690521261,1.864190712712773,0.8122591362126251,2.0512254033577584,2,500,250,100,0.005,,0.01,,
350,131,130,1,1,1.0,1,0,0.7633587786259542,0.0,29.00763358778626,360.1958778625963,-1.604364597865374,0.6808831908831894,0.6808831908831894,0.0,2.877031497733601,2.049806958292151,0.6808831908831894,2.2852477887485634,2,500,250,100,0.005,,0.01,,
400,152,151,1,1,1.0,1,0,0.6578947368421053,0.0,30.263157894736842,386.7567105263168,-1.4085284882866582,0.5798254364089747,0.5798254364089747,0.0,2.4008954637244395,1.8132183656739687,0.5798254364089747,1.9883539246956328,2,500,250,100,0.005,,0.01,,
450,216,215,1,1,1.0,1,0,0.46296296296296297,0.0,27.314814814814813,368.56921296296395,-1.756228183949324,0.44902439024390045,0.44902439024390045,0.0,2.6312751929004983,2.0478684220593273,0.44902439024390045,2.2052525741932243,2,500,250,100,0.005,,0.01,,
