cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
1,11110000,NAND,1,0,1,1,cooperator,4778.0,500,204.349,128.85,0,500,250,100,0.005,,,0.01,
2,00110000,AND,1,0,1,1,cooperator,4778.0,500,207.035,139.78,0,500,250,100,0.005,,,0.01,
3,01110000,OR,1,0,1,1,cooperator,4778.0,500,207.33,114.502,0,500,250,100,0.005,,,0.01,
4,01110000,OR,1,0,1,2,cooperator,2043.125,500,14.866,172.825,0,500,250,100,0.005,,,0.01,
5,10110000,XOR,1,0,1,2,cooperator,2043.125,500,2.747,189.129,0,500,250,100,0.005,,,0.01,
6,00110000,AND,1,0,1,2,cooperator,2043.125,500,1.058,164.56,0,500,250,100,0.005,,,0.01,
7,01110000,OR,1,0,1,3,cooperator,649.0357,500,145.323,163.263,0,500,250,100,0.005,,,0.01,
8,11100000,NAND,0,1,1,3,defector,898.5357,500,158.191,189.177,0,500,250,100,0.005,,,0.01,
9,00110000,AND,1,0,1,3,cooperator,649.0357,500,135.114,174.641,0,500,250,100,0.005,,,0.01,
10,10110000,XOR,1,0,1,3,cooperator,649.0357,500,141.069,163.848,0,500,250,100,0.005,,,0.01,
11,11110000,NAND,1,0,1,4,cooperator,1638.5,500,157.967,87.549,0,500,250,100,0.005,,,0.01,
12,01110000,OR,1,0,1,4,cooperator,1638.5,500,151.355,97.243,0,500,250,100,0.005,,,0.01,
13,00110000,AND,1,0,1,5,cooperator,1543.5,500,119.869,233.58,0,500,250,100,0.005,,,0.01,
14,10110000,XOR,1,0,1,5,cooperator,1543.5,500,117.718,217.764,0,500,250,100,0.005,,,0.01,
15,00110000,AND,1,0,1,6,cooperator,492.5286,500,118.97,54.748,0,500,250,100,0.005,,,0.01,
16,11100000,NAND,0,1,1,6,defector,792.5286,500,94.386,65.847,0,500,250,100,0.005,,,0.01,
17,10110000,XOR,1,0,1,6,cooperator,492.5286,500,101.805,17.548,0,500,250,100,0.005,,,0.01,
18,01110000,OR,1,0,1,6,cooperator,492.5286,500,113.934,30.973,0,500,250,100,0.005,,,0.01,
19,00110000,AND,1,0,1,7,cooperator,2715.0,500,101.755,140.238,0,500,250,100,0.005,,,0.01,
20,01110000,OR,1,0,1,7,cooperator,2715.0,500,92.73,143.28,0,500,250,100,0.005,,,0.01,
21,10110000,XOR,1,0,1,7,cooperator,2715.0,500,92.059,119.348,0,500,250,100,0.005,,,0.01,
22,10100000,XOR,0,1,1,8,defector,217.9857,500,55.251,65.105,0,500,250,100,0.005,,,0.01,
23,01110000,OR,1,0,1,8,cooperator,78.9857,500,29.133,80.284,0,500,250,100,0.005,,,0.01,
24,00100000,AND,0,1,1,8,defector,217.9857,500,25.384,72.212,0,500,250,100,0.005,,,0.01,
25,11110000,NAND,1,0,1,8,cooperator,78.9857,500,42.528,56.513,0,500,250,100,0.005,,,0.01,
26,11100000,NAND,0,1,1,9,defector,443.8821,500,39.576,103.497,0,500,250,100,0.005,,,0.01,
27,00110000,AND,1,0,1,9,cooperator,156.3821,500,42.66,94.706,0,500,250,100,0.005,,,0.01,
28,10110000,XOR,1,0,1,9,cooperator,156.3821,500,15.982,108.915,0,500,250,100,0.005,,,0.01,
