tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
0,100,56,44,14,3.142857142857143,38,6,38.0,6.0,64.0,2.883000000000001,4.139935064935067,0.5100877192982471,5.270921052631581,4.760833333333334,0.9130769230769231,1.1900000000000004,5.201363636363638,1.0614285714285714,0,500,250,100,0.005,,,0.01,
50,64,16,48,11,4.363636363636363,36,12,56.25,18.75,64.0625,252.49312499999985,0.9758053221288456,1.7732103952692109,5.9385196856520315,4.165309290382821,4.4605882352941215,4.546149732620322,5.495217086834731,4.519411764705885,0,500,250,100,0.005,,,0.01,
100,97,23,74,15,4.933333333333334,51,23,52.577319587628864,23.711340206185568,59.79381443298969,318.9495876288659,0.46942827108155294,1.639828809698649,4.308777629863823,2.6689488201651743,2.8867751060820406,3.523440594059409,3.7991011079304586,3.3296728368489057,0,500,250,100,0.005,,,0.01,
150,120,26,94,18,5.222222222222222,59,35,49.166666666666664,29.166666666666668,55.0,449.4785833333333,-0.8990423732566901,4.033700853038306,5.659971441399544,1.6262705883612376,5.007975402081368,5.075203903799238,4.158061549310813,5.057103922567503,0,500,250,100,0.005,,,0.01,
200,173,30,143,27,5.296296296296297,87,56,50.28901734104046,32.369942196531795,54.91329479768786,435.14747591522195,-1.883424827328899,2.833662337094296,3.6940820171294466,0.8604196800351509,4.821015631226027,4.339386444464498,2.5843960669386736,4.467820894267573,0,500,250,100,0.005,,,0.01,
250,204,31,173,34,5.088235294117647,101,72,49.509803921568626,35.294117647058826,53.431372549019606,486.9475000000007,-0.8451203554842577,4.403935964434451,4.9846919367844045,0.580755972349953,3.7401714559924524,4.086278199478661,3.1518399747076393,3.996960330191897,0,500,250,100,0.005,,,0.01,
300,214,34,180,36,5.0,107,73,50.0,34.11214953271028,54.67289719626168,570.9460280373845,-0.5207897073508665,3.8495508450028906,4.421248982296477,0.5716981372935868,3.3211712880143174,3.405690570583056,2.860042250711972,3.3808319580628385,0,500,250,100,0.005,,,0.01,
350,304,40,264,56,4.714285714285714,179,85,58.88157894736842,27.960526315789473,62.171052631578945,547.9734257518805,-0.031588127934692345,4.178805411378381,4.755754328658382,0.5769489172800009,3.021964543777537,3.58187014486915,3.410305616661554,3.4418937445962463,0,500,250,100,0.005,,,0.01,
400,321,46,275,58,4.741379310344827,188,87,58.56697819314642,27.102803738317757,62.92834890965732,660.7483845126844,-0.039990704688354306,3.918041851181119,4.484648556107977,0.5666067049268586,3.15918231441417,3.3402080966082046,3.2451225886434054,3.2851132933317597,0,500,250,100,0.005,,,0.01,
450,465,48,417,95,4.389473684210526,301,116,64.73118279569893,24.946236559139784,67.74193548387096,584.8077403993861,0.3834965618166626,3.8964393630005807,4.453373916679773,0.5569345536791923,3.559371172821668,2.7498717629298834,3.369472319298317,2.9859757574816546,0,500,250,100,0.005,,,0.01,
