tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha
0,100,62,38,12,3.1666666666666665,38,0,38.0,0.0,72.0,0.2275,0.12224108658743649,0.30328947368421066,0.30328947368421066,0.0,0.17500000000000002,0.18839285714285717,0.30328947368421066,0.18104838709677418,0,500,250,100,0.005,,,0.01
50,127,47,80,25,3.2,78,2,61.41732283464567,1.5748031496062993,77.95275590551181,10.18444881889764,0.13310583541927412,0.14470211161387636,0.31970211161387635,0.175,0.17499999999999996,0.18942307692307686,0.3160845588235294,0.1829787234042553,0,500,250,100,0.005,,,0.01
100,142,47,95,29,3.2758620689655173,93,2,65.49295774647888,1.408450704225352,80.28169014084507,21.27165492957747,0.1461640592950673,0.15745768125199594,0.33245768125199626,0.17500000000000032,0.17500000000000032,0.1894230769230768,0.3291427826993227,0.1829787234042554,0,500,250,100,0.005,,,0.01
150,185,47,138,40,3.45,136,2,73.51351351351352,1.0810810810810811,84.86486486486487,30.052837837837835,0.16058951730982451,0.17104718543046302,0.3460471854304635,0.17500000000000046,0.1750000000000004,0.18942307692307686,0.34356824071408,0.18297872340425547,0,500,250,100,0.005,,,0.01
200,284,50,234,66,3.5454545454545454,226,8,79.5774647887324,2.816901408450704,86.97183098591549,31.606866197183088,0.18662872506156059,0.21686634206281527,0.3570404714160492,0.14017412935323395,0.1750000000000002,0.1543060559272604,0.3496262374993717,0.16299751243781113,0,500,250,100,0.005,,,0.01
250,438,43,395,107,3.691588785046729,383,12,87.44292237442923,2.73972602739726,91.32420091324201,33.15804794520545,0.17456680440328856,0.21400229479481317,0.3518176998412941,0.1378154050464809,0.1749999999999996,0.1679704259883548,0.3453163643032238,0.17074955989993526,0,500,250,100,0.005,,,0.01
300,667,27,640,171,3.742690058479532,618,22,92.65367316341829,3.2983508245877062,93.85307346326836,34.422413793103416,0.15242277434939505,0.21516549929280718,0.34181736573470034,0.12665186644189316,0.17499999999999918,0.18494492044063734,0.33442105169651004,0.181998277347115,0,500,250,100,0.005,,,0.01
350,1011,18,993,261,3.8045977011494254,963,30,95.25222551928783,2.9673590504451037,95.54896142433235,35.702744807121626,0.13588730196174817,0.20240162335708128,0.3378354879644807,0.13543386460739942,0.1749999999999989,0.2000000000000014,0.33172063529508244,0.19583333333333428,0,500,250,100,0.005,,,0.01
400,1604,15,1589,413,3.847457627118644,1548,41,96.50872817955113,2.5561097256857854,96.50872817955113,35.6578325020781,0.128506804449638,0.17522202499022438,0.3330279517275497,0.1578059267373253,0.0,0.20000000000000148,0.3285068044496395,0.20000000000000148,0,500,250,100,0.005,,,0.01
450,2616,15,2601,670,3.882089552238806,2543,58,97.20948012232417,2.217125382262997,97.20948012232417,34.55776121304789,0.1246892697036642,0.15441524770605916,0.3281325931819247,0.17371734547586556,0.0,0.2000000000000016,0.3246892697036658,0.2000000000000016,0,500,250,100,0.005,,,0.01
