cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
1,11110000,NAND,1,0,1,1,cooperator,4455.5,500,208.003,69.943,0,500,250,100,0.005,500,,,
2,00110000,AND,1,0,1,1,cooperator,4455.5,500,204.628,100.359,0,500,250,100,0.005,500,,,
3,01110000,OR,1,0,1,1,cooperator,4455.5,500,204.995,83.867,0,500,250,100,0.005,500,,,
4,01110000,OR,1,0,1,2,cooperator,2693.5,500,73.176,200.433,0,500,250,100,0.005,500,,,
5,10110000,XOR,1,0,1,2,cooperator,2693.5,500,50.697,201.807,0,500,250,100,0.005,500,,,
6,00110000,AND,1,0,1,2,cooperator,2693.5,500,58.652,189.714,0,500,250,100,0.005,500,,,
7,01110000,OR,1,0,1,3,cooperator,310.7857,500,174.511,156.193,0,500,250,100,0.005,500,,,
8,11100000,NAND,0,1,1,3,defector,608.2857,500,164.471,155.852,0,500,250,100,0.005,500,,,
9,00110000,AND,1,0,1,3,cooperator,310.7857,500,165.587,159.825,0,500,250,100,0.005,500,,,
10,10110000,XOR,1,0,1,3,cooperator,310.7857,500,154.127,148.42,0,500,250,100,0.005,500,,,
11,11110000,NAND,1,0,1,4,cooperator,4188.25,500,247.309,62.327,0,500,250,100,0.005,500,,,
12,01110000,OR,1,0,1,4,cooperator,4188.25,500,238.716,31.867,0,500,250,100,0.005,500,,,
13,00110000,AND,1,0,1,5,cooperator,1843.75,500,92.578,245.775,0,500,250,100,0.005,500,,,
14,10110000,XOR,1,0,1,5,cooperator,1843.75,500,84.212,237.028,0,500,250,100,0.005,500,,,
15,00110000,AND,1,0,1,6,cooperator,205.8095,500,178.849,47.586,0,500,250,100,0.005,500,,,
16,11100000,NAND,0,1,1,6,defector,392.8095,500,166.813,57.107,0,500,250,100,0.005,500,,,
17,10110000,XOR,1,0,1,6,cooperator,205.8095,500,167.182,70.971,0,500,250,100,0.005,500,,,
18,01110000,OR,1,0,1,6,cooperator,205.8095,500,168.925,48.888,0,500,250,100,0.005,500,,,
19,00110000,AND,1,0,1,7,cooperator,3694.0,500,128.038,133.889,0,500,250,100,0.005,500,,,
20,01110000,OR,1,0,1,7,cooperator,3694.0,500,116.738,125.105,0,500,250,100,0.005,500,,,
21,10110000,XOR,1,0,1,7,cooperator,3694.0,500,132.938,120.183,0,500,250,100,0.005,500,,,
26,11100000,NAND,0,1,1,9,defector,99.25,500,67.267,45.15,0,500,250,100,0.005,500,,,
29,11110000,NAND,1,0,1,10,cooperator,4382.5,500,145.153,186.68,0,500,250,100,0.005,500,,,
30,10110000,XOR,1,0,1,10,cooperator,4382.5,500,130.934,182.931,0,500,250,100,0.005,500,,,
31,01110000,OR,1,0,1,10,cooperator,4382.5,500,142.103,176.41,0,500,250,100,0.005,500,,,
32,00110000,AND,1,0,1,10,cooperator,4382.5,500,135.336,163.656,0,500,250,100,0.005,500,,,
33,10110000,XOR,1,0,1,11,cooperator,320.9357,500,98.825,148.091,0,500,250,100,0.005,500,,,
34,00110000,AND,1,0,1,11,cooperator,320.9357,500,91.75,143.233,0,500,250,100,0.005,500,,,
35,01110000,OR,1,0,1,11,cooperator,320.9357,500,99.457,125.501,0,500,250,100,0.005,500,,,
36,11100000,NAND,0,1,1,11,defector,516.9357,500,93.628,131.285,0,500,250,100,0.005,500,,,
37,10110000,XOR,1,0,1,12,cooperator,445.5,500,167.876,12.547,0,500,250,100,0.005,500,,,
38,00110000,AND,1,0,1,12,cooperator,445.5,500,172.558,32.521,0,500,250,100,0.005,500,,,
39,00101101,AND,0,1,1,-1,lone,1991.0,500,0.971,2.65,0,500,250,100,0.005,500,,,
41,11010101,NAND,1,0,0,-1,lone,160.0,500,1.339,225.454,0,500,250,100,0.005,500,,,
42,01010011,OR,1,0,0,-1,lone,36.0,500,9.278,249.733,0,500,250,100,0.005,500,,,
44,11111110,NAND,1,0,1,15,cooperator,443.85,500,26.1,103.103,0,500,250,100,0.005,500,,,
46,10101110,XOR,0,1,1,-1,lone,636.0,500,98.546,27.427,0,500,250,100,0.005,500,,,
47,10101011,XOR,0,1,1,-1,lone,993.0,500,0.331,179.13,0,500,250,100,0.005,500,,,
50,10011011,XOR,1,0,0,-1,lone,505.0,500,0.711,92.783,0,500,250,100,0.005,500,,,
51,10101100,XOR,0,1,1,-1,lone,537.0,500,2.402,106.414,0,500,250,100,0.005,500,,,
55,10010110,XOR,1,0,0,-1,lone,1052.0,500,105.322,25.715,0,500,250,100,0.005,500,,,
56,10011110,XOR,1,0,0,-1,lone,636.0,500,81.555,93.735,0,500,250,100,0.005,500,,,
57,10100111,XOR,0,1,1,-1,lone,95.0,500,4.172,232.574,0,500,250,100,0.005,500,,,
59,10001000,XOR,0,0,0,-1,lone,1141.0,500,118.397,79.014,0,500,250,100,0.005,500,,,
61,01001000,OR,0,0,0,-1,lone,1459.0,500,53.877,147.22,0,500,250,100,0.005,500,,,
62,00000011,AND,0,0,0,-1,lone,489.0,500,239.036,146.923,0,500,250,100,0.005,500,,,
63,01111010,OR,1,0,1,13,cooperator,2193.6,500,122.702,70.021,0,500,250,100,0.005,500,,,
64,00111011,AND,1,0,1,23,cooperator,725.9,500,209.126,247.73,0,500,250,100,0.005,500,,,
67,11000011,NAND,0,0,0,-1,lone,210.0,500,72.955,249.648,0,500,250,100,0.005,500,,,
68,11100101,NAND,0,1,1,-1,lone,904.0,500,180.549,75.09,0,500,250,100,0.005,500,,,
69,00110010,AND,1,0,1,13,cooperator,2191.6,500,111.088,67.707,0,500,250,100,0.005,500,,,
70,10110100,XOR,1,0,1,15,cooperator,446.7,500,50.192,115.705,0,500,250,100,0.005,500,,,
71,11010101,NAND,1,0,0,-1,lone,2800.0,500,230.628,191.065,0,500,250,100,0.005,500,,,
72,11111110,NAND,1,0,1,14,cooperator,160.6,500,119.28,64.524,0,500,250,100,0.005,500,,,
74,10000010,XOR,0,0,0,-1,lone,496.0,500,19.065,51.909,0,500,250,100,0.005,500,,,
76,11101110,NAND,0,1,1,-1,lone,17.0,500,129.627,1.332,0,500,250,100,0.005,500,,,
77,11010000,NAND,1,0,0,-1,lone,31.0,500,247.266,16.841,0,500,250,100,0.005,500,,,
78,01101101,OR,0,1,1,-1,lone,1861.0,500,195.96,64.757,0,500,250,100,0.005,500,,,
79,10001101,XOR,0,0,0,-1,lone,13.0,500,1.562,249.259,0,500,250,100,0.005,500,,,
80,11100010,NAND,0,1,1,-1,lone,465.0,500,33.401,195.227,0,500,250,100,0.005,500,,,
81,11110011,NAND,1,0,1,16,cooperator,2316.35,500,142.376,148.93,0,500,250,100,0.005,500,,,
82,00111100,AND,1,0,1,17,cooperator,2802.1,500,12.978,204.638,0,500,250,100,0.005,500,,,
83,01011001,OR,1,0,0,-1,lone,54.0,500,27.657,234.985,0,500,250,100,0.005,500,,,
84,01001111,OR,0,0,0,-1,lone,2462.0,500,246.294,8.609,0,500,250,100,0.005,500,,,
86,11111010,NAND,1,0,1,14,cooperator,160.6,500,137.987,73.639,0,500,250,100,0.005,500,,,
87,00111110,AND,1,0,1,18,cooperator,4065.3,500,10.371,238.059,0,500,250,100,0.005,500,,,
90,10100101,XOR,0,1,1,-1,lone,1436.0,500,167.626,3.644,0,500,250,100,0.005,500,,,
92,01110111,OR,1,0,1,16,cooperator,2314.35,500,138.715,151.714,0,500,250,100,0.005,500,,,
94,01001101,OR,0,0,0,-1,lone,498.0,500,35.993,3.539,0,500,250,100,0.005,500,,,
95,01110010,OR,1,0,1,17,cooperator,2805.1,500,15.949,196.357,0,500,250,100,0.005,500,,,
96,00110100,AND,1,0,1,12,cooperator,442.2,500,168.09,27.446,0,500,250,100,0.005,500,,,
