tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
0,100,60,40,13,3.076923076923077,40,0,40.0,0.0,68.0,0.19900000000000007,0.012083333333333418,0.2062500000000001,0.2062500000000001,0.0,0.20357142857142854,0.18593750000000003,0.2062500000000001,0.19416666666666668,0,500,250,100,0.005,,,,
25,94,49,45,17,2.6470588235294117,42,3,44.680851063829785,3.1914893617021276,65.95744680851064,5.236968085106383,0.0066592534449678165,0.03202838827838839,0.20702838827838832,0.17499999999999993,0.2144230769230769,0.18706896551724136,0.2048931623931625,0.19823390894819468,0,500,250,100,0.005,,,,
50,114,49,65,21,3.0952380952380953,62,3,54.3859649122807,2.6315789473684212,71.9298245614035,9.155263157894735,0.031517530088958634,0.060626185958254364,0.23562618595825432,0.17499999999999996,0.22196078431372554,0.18706896551724134,0.23282805429864256,0.20131052420968393,0,500,250,100,0.005,,,,
75,118,49,69,24,2.875,66,3,55.932203389830505,2.542372881355932,72.88135593220339,14.450211864406784,0.03973530487709964,0.07087818979266336,0.24587818979266354,0.17500000000000018,0.22625000000000012,0.18706896551724128,0.2427965293668956,0.20306122448979597,0,500,250,100,0.005,,,,
100,139,48,91,31,2.935483870967742,88,3,63.30935251798561,2.158273381294964,76.97841726618705,16.67122302158274,0.04526404035162612,0.06631365360093674,0.2413136536009371,0.17500000000000035,0.204233976029182,0.18706896551724134,0.2391274891965106,0.1938634488448845,0,500,250,100,0.005,,,,
125,157,48,109,37,2.945945945945946,106,3,67.51592356687898,1.910828025477707,79.61783439490446,19.87022292993631,0.07035760031488486,0.08242274316596462,0.25742274316596503,0.1750000000000004,0.18132832080200517,0.18706896551724136,0.2551542272990119,0.18479662698412702,0,500,250,100,0.005,,,,
150,181,50,131,43,3.046511627906977,128,3,70.7182320441989,1.6574585635359116,81.21546961325967,22.08839779005526,0.07441179824366687,0.08247923671916216,0.2574792367191626,0.17500000000000046,0.18972584088532607,0.17593997009186074,0.2555903992370444,0.18117860099337754,0,500,250,100,0.005,,,,
175,213,49,164,56,2.9285714285714284,152,12,71.36150234741784,5.633802816901408,80.75117370892019,21.867605633802825,0.08597084040745684,0.1299656821679711,0.2651929548952441,0.13522727272727297,0.18727272727272742,0.15760188087774285,0.255683270834173,0.1697124304267162,0,500,250,100,0.005,,,,
200,271,51,220,72,3.0555555555555554,206,14,76.01476014760148,5.166051660516605,83.76383763837639,22.054151291512927,0.07645072186770663,0.11713832179786832,0.25233732677299275,0.13519900497512444,0.18949893390191896,0.15368573797678273,0.2448830699313102,0.16843234806360358,0,500,250,100,0.005,,,,
225,314,48,266,86,3.0930232558139537,249,17,79.29936305732484,5.414012738853503,85.6687898089172,24.630652866242038,0.09387063960569178,0.12440477323046262,0.27025328962817224,0.14584851639770963,0.18504424778761047,0.15656605562579023,0.2623026086322404,0.16843196902654864,0,500,250,100,0.005,,,,
250,355,44,311,102,3.049019607843137,293,18,82.53521126760563,5.070422535211268,87.32394366197182,27.467605633802815,0.08906501159328797,0.1163225689139715,0.2665328389449588,0.15021027003098733,0.18851675650339791,0.15953961930057564,0.259800342994954,0.17073533140166605,0,500,250,100,0.005,,,,
275,488,40,448,137,3.27007299270073,428,20,87.70491803278688,4.098360655737705,90.77868852459017,25.408043032786882,0.08683022037022115,0.11459839401612731,0.2642360751755478,0.1496376811594205,0.18344927536231856,0.16559420289855095,0.25912007544268495,0.1722898550724638,0,500,250,100,0.005,,,,
300,560,34,526,159,3.308176100628931,502,24,89.64285714285714,4.285714285714286,91.42857142857143,27.77549107142857,0.07979447508755427,0.11002725703249369,0.2617714430790056,0.15174418604651188,0.17566445182724216,0.17749515503876,0.25675118800527963,0.17695671291772536,0,500,250,100,0.005,,,,
325,715,33,682,202,3.376237623762376,650,32,90.9090909090909,4.475524475524476,92.16783216783217,27.10461538461539,0.09024433254203462,0.11140162424939926,0.2623421963537679,0.15094057210436862,0.1782379004771638,0.16260814849771946,0.2571151406705116,0.166870808128477,0,500,250,100,0.005,,,,
350,906,24,882,256,3.4453125,850,32,93.81898454746137,3.532008830022075,93.92935982339957,27.09475717439294,0.08685215537982202,0.10695580777787583,0.26450566532773356,0.15754985754985773,0.18582621082620984,0.17324897566081363,0.2606251825058605,0.17377302712603845,0,500,250,100,0.005,,,,
375,1093,23,1070,306,3.496732026143791,1034,36,94.60201280878317,3.293687099725526,94.60201280878317,28.26285452881976,0.08306790083358503,0.10165198104528125,0.262172075607929,0.16052009456264774,0.0,0.17568410812235316,0.2587520089559382,0.17568410812235316,0,500,250,100,0.005,,,,
400,1378,23,1355,384,3.5286458333333335,1318,37,95.64586357039187,2.6850507982583456,95.64586357039187,28.14305152394775,0.0790030523437252,0.09756205833610826,0.25935184063711236,0.1617897823010041,0.0,0.1776847320878994,0.2566877844316246,0.1776847320878994,0,500,250,100,0.005,,,,
425,1724,24,1700,481,3.5343035343035343,1657,43,96.11368909512761,2.4941995359628772,96.11368909512761,28.308338167053368,0.08341808627966701,0.09910902480135164,0.2634091667382441,0.16430014193689246,0.0,0.17748420512536645,0.26090229140503346,0.17748420512536645,0,500,250,100,0.005,,,,
450,2179,28,2151,599,3.5909849749582636,2103,48,96.51216154199174,2.202845341899954,96.51216154199174,28.10284534189995,0.10362260830012981,0.10119754636673792,0.26349775885749893,0.16230021249076101,0.0,0.15761690684486168,0.2612395151449915,0.15761690684486168,0,500,250,100,0.005,,,,
475,2695,29,2666,732,3.6420765027322406,2613,53,96.95732838589981,1.966604823747681,96.95732838589981,28.647081014223872,0.09787599076872724,0.10066568305060264,0.26789653765659577,0.16723085460599313,0.0,0.1680193161295482,0.26589530689827545,0.1680193161295482,0,500,250,100,0.005,,,,
0,100,60,40,14,2.857142857142857,40,0,40.0,0.0,74.0,0.17925000000000002,-0.03312499999999999,0.15937500000000004,0.15937500000000004,0.0,0.19852941176470587,0.1846153846153846,0.15937500000000004,0.19250000000000003,1,500,250,100,0.005,,,,
25,93,49,44,18,2.4444444444444446,40,4,43.01075268817204,4.301075268817204,72.04301075268818,4.671236559139785,-0.030127461823890422,-0.01233173076923072,0.1626682692307692,0.17499999999999993,0.20007122507122505,0.18636363636363634,0.16378933566433565,0.19391679748822607,1,500,250,100,0.005,,,,
50,101,49,52,20,2.6,48,4,47.524752475247524,3.9603960396039604,74.25742574257426,9.054207920792079,0.024278172807584625,0.04799836601307192,0.2229983660130719,0.175,0.2020878721859114,0.18636363636363626,0.21930618401206645,0.19502801120448182,1,500,250,100,0.005,,,,
75,105,49,56,22,2.5454545454545454,52,4,49.523809523809526,3.8095238095238093,75.23809523809524,13.990238095238102,0.027478014232008546,0.05110703441295533,0.22610703441295554,0.1750000000000002,0.20199805068226137,0.18636363636363634,0.2224565319548873,0.19497851772287875,1,500,250,100,0.005,,,,
100,114,50,64,24,2.6666666666666665,59,5,51.75438596491228,4.385964912280702,76.3157894736842,17.736622807017557,0.037679146039603956,0.060773619734854706,0.23577361973485497,0.17500000000000027,0.1988330975954741,0.18636363636363634,0.23102568069306945,0.1933465346534655,1,500,250,100,0.005,,,,
125,130,52,78,29,2.689655172413793,73,5,56.15384615384615,3.8461538461538463,79.23076923076923,20.10038461538463,0.04704327901443284,0.06564376453075063,0.24064376453075095,0.17500000000000032,0.19161375661375693,0.1863636363636364,0.23643583090698492,0.18939255189255208,1,500,250,100,0.005,,,,
150,132,53,79,31,2.5483870967741935,74,5,56.06060606060606,3.787878787878788,78.03030303030303,24.852209595959618,0.05767420255233885,0.07303626028751387,0.24803626028751424,0.17500000000000038,0.1979329288546579,0.17100579470198682,0.24341371216805138,0.18573950961571253,1,500,250,100,0.005,,,,
175,162,56,106,42,2.5238095238095237,95,11,58.641975308641975,6.790123456790123,77.1604938271605,22.25010288065846,0.08224287348142478,0.11513178836221025,0.2612061685274998,0.14607438016528954,0.19668680146901593,0.13277972027972024,0.24925853011255344,0.16701565663112866,1,500,250,100,0.005,,,,
200,182,54,128,51,2.5098039215686274,115,13,63.18681318681319,7.142857142857143,78.57142857142857,24.862591575091585,0.07631982600853776,0.11569045689501911,0.2585434993749274,0.14285304247990827,0.1976542805548215,0.14120264064293914,0.24679368734652699,0.17047386133798922,1,500,250,100,0.005,,,,
225,213,54,159,60,2.65,145,14,68.07511737089202,6.572769953051643,81.22065727699531,26.287871674491388,0.08442460715646632,0.11743987891502472,0.2658912063486531,0.14845132743362838,0.19395882920094049,0.14653675970047655,0.25555058807940567,0.17112598092293935,1,500,250,100,0.005,,,,
250,242,57,185,69,2.681159420289855,170,15,70.24793388429752,6.198347107438017,83.05785123966942,28.54655647382919,0.08629570221823027,0.11625927448803328,0.2689485175159218,0.15268924302788853,0.19202865029114494,0.15080830524057623,0.25952208985472985,0.17322638763649958,1,500,250,100,0.005,,,,
275,281,54,227,85,2.6705882352941175,211,16,75.08896797153025,5.693950177935943,85.05338078291815,29.981376037959652,0.07836926995319887,0.10700157801226307,0.26297983888182835,0.1559782608695653,0.19820529579763407,0.1543060200668898,0.25543787743603014,0.17706860748283126,1,500,250,100,0.005,,,,
300,332,56,276,101,2.732673267326733,259,17,78.01204819277109,5.120481927710843,86.44578313253012,30.520607429718854,0.09366831042927973,0.11833378188332028,0.2769179132102697,0.15858413132694943,0.19367850013810398,0.15824335548172777,0.2696292382391956,0.17596092780991587,1,500,250,100,0.005,,,,
325,392,50,342,123,2.7804878048780486,320,22,81.63265306122449,5.612244897959184,87.24489795918367,31.08792517006801,0.09443091270221454,0.11034762957173067,0.2736354154055288,0.16328778583379816,0.20039929046569033,0.14987576673286518,0.26653702987752276,0.17210611717530822,1,500,250,100,0.005,,,,
350,491,38,453,162,2.7962962962962963,421,32,85.74338085539715,6.517311608961304,88.79837067209776,30.051103190767115,0.09771423411211716,0.12123121375511936,0.27669279696539373,0.15546158321027437,0.19010487793125788,0.15757339279078417,0.2681290026162462,0.17041476850412907,1,500,250,100,0.005,,,,
375,561,28,533,190,2.805263157894737,498,35,88.77005347593582,6.238859180035651,89.83957219251337,32.330644682115235,0.10320766086816033,0.11408974586203688,0.2726200847115246,0.15853033884948772,0.16666666666666566,0.16062622057765444,0.2651282627506029,0.1619206018824426,1,500,250,100,0.005,,,,
400,693,27,666,236,2.8220338983050848,629,37,90.76479076479076,5.339105339105339,91.48629148629149,32.01816979316977,0.10856071080526133,0.11882505050654668,0.2793619372344392,0.1605368867278925,0.17499999999999868,0.16174525171945414,0.2727605455396311,0.16419983473436975,1,500,250,100,0.005,,,,
425,827,27,800,276,2.898550724637681,761,39,92.01934703748489,4.71584038694075,92.38210399032648,33.01419790407091,0.12055857090526642,0.12683959389141347,0.28902858478685345,0.16218899089543998,0.1749999999999986,0.16069740663930332,0.282845154584647,0.16228658367938056,1,500,250,100,0.005,,,,
450,1029,31,998,342,2.91812865497076,955,43,92.80855199222546,4.178814382896015,93.00291545189505,32.42921930677031,0.12480838027738037,0.12313041019578702,0.2872298177653513,0.16409940756956426,0.17499999999999852,0.15588285523501705,0.2819245996907833,0.15711621941340295,1,500,250,100,0.005,,,,
475,1252,30,1222,414,2.9516908212560384,1179,43,94.16932907348243,3.4345047923322682,94.16932907348243,32.9223176251331,0.13297967936984623,0.12768401823978082,0.2924154421605411,0.1647314239207603,0.0,0.15494278997211003,0.28792246934195626,0.15494278997211003,1,500,250,100,0.005,,,,
0,100,57,43,14,3.0714285714285716,42,1,42.0,1.0,70.0,0.21775000000000003,0.03515911872705024,0.06428571428571436,0.23928571428571438,0.17500000000000002,0.21428571428571433,0.19137931034482758,0.2377906976744187,0.20263157894736847,2,500,250,100,0.005,,,,
25,98,47,51,16,3.1875,46,5,46.93877551020408,5.1020408163265305,69.38775510204081,5.520153061224489,0.021302670004171936,0.052696488294314475,0.2276964882943144,0.17499999999999993,0.20944055944055942,0.19400000000000006,0.22253016591251887,0.20122749590834693,2,500,250,100,0.005,,,,
